cytoband	16q23.1	5q12.1	4q22.1	9p23	6p25.3	20p12.1	3p14.2	9p21.3	Xp21.1	18q21.2	7q31.1	6q26	3q26.31	1p36.11	4q35.1	10q23.31	2q32.1	21q11.2	16p13.3	19p13.3	17p12	7q36.3	11q23.2	12p13.1	11p15.5	3p26.1	2q37.2	10q22.3	Xp22.2	21q22.13	1q44	Xq21.33	15q15.1	2q33.3	14q23.3	6q24.3	9q21.11	22q13.31	4p16.3	17q24.3	18q12.2	13q12.11	8p23.2	15q11.2	3p21.1	6q14.1	14q32.32	5q23.2	19q13.11	10p15.3	1p13.2	12q12	
																							USP2	CLEC12A																						CD164	EVL	UBE2B		PTER	LRRC53	PLEKHA8P1	
																							HTR3B	CLECL1																						WISP3	GSKIP	VDAC1		SPAG6	RNU4ATAC8P	IRAK4	
																							ZW10	CLEC4C																						WASF1	CINP	XRCC4		USP6NL	RNA5SP50	FKBP11	
																							UBE4A	TAS2R43																						TBX18	CDCA4	ST8SIA4		ABI1	RN7SKP19	KRT76	
																							EI24	TAS2R31																						HMGN3	ATG2B	REEP5		OPTN	NEGR1	CSAD	
																							FEZ1	TAS2R46																						FHL5	ZNF839	PDLIM4		NET1	MIR186	BIN2	
																							ARHGAP32	TAS2R19																						ATG5	BEGAIN	P4HA2		NEBL	ABCA4	LIMA1	
																							RBM7	TAS2R50																						ZBTB24	INF2	ATG12		PITRM1	ACADM	PPHLN1	
																							MPZL2	CD163L1																						SNAP91	BCL11B	NREP		RPP38	ADORA3	HDAC7	
																							HYOU1	CLEC9A																						FIG4	ZFYVE21	CXCL14		CELF2	AGL	SLC38A2	
																							ATP5L	C12orf36																						SYNCRIP	WDR25	H2AFY		YME1L1	AMPD1	PRR13	
																							ADAMTS8	CLEC4D																						SLC35A1	TMEM121	SNCAIP		ZMYND11	AMPD2	KANSL2	
																							TREH	ACSM4																						FUT9	AMN	TTC37		NUDT5	AMY1A	SLC38A4	
																							CEP164	TAS2R42																						TRAF3IP2	SETD3	PJA2		ANKRD26	AMY1B	KIF21A	
																							EXPH5	DPPA3																						PNRC1	HHIPL1	DDX46		WDR37	AMY1C	SLC48A1	
																							PHLDB1	NANOGNB																						ASCC3	BTBD6	EDIL3		MSRB2	AMY2A	LMBR1L	
																							ARHGEF12	CLEC2A																						BVES	EXOC3L4	RAD50		SEPHS1	AMY2B	SMAGP	
																							SIK3	CLEC12B																						SEC63	WDR20	POLR3G		RAB18	RHOC	DIP2B	
																							VSIG2	LINC00937																						KIAA1009	AHNAK2	SEC24A		KIN	ATP1A1	CALCOCO1	
																							BACE1	ZNF705A																						ANKRD6	TRMT61A	KIF3A		DIP2C	BCL9	NCKAP5L	
																							TRIM29	SMCO3																						RIMS1	TDRD9	RHOBTB3		LARP4B	BRDT	C12orf10	
																							CADM1	PRB2																						DOPEY1	ANKRD9	ELL2		COMMD3	CAPZA1	C12orf44	
																							POU2F3	MIR614																						ZNF292	AK7	FSTL4		GTPBP4	CASQ2	SPATS2	
																							REXO2	SLC15A5																						CDK19	PLD4	SEPT8		PDSS1	CD2	TMEM106C	
																							OR8B8																							MDN1	ADSSL1	PPIP5K2		BAMBI	CD53	DNAJC22	
																							TIMM8B																							TSPYL4	SLC25A29	ACSL6		UPF2	CD58	ADAMTS20	
																							OR8B2																							UFL1	NUDT14	PHF15		HSPA14	CHI3L2	SLC38A1	
																							DCPS																							PHF3	C14orf177	AFF4		WAC	CLCA1	CSRNP2	
																							ZBTB44																							ORC3	SLC25A47	SLC27A6		CALML5	CNN3	PUS7L	
																							DDX25																							MTO1	LINC00523	SNX24		MYO3A	COL11A1	FAM186B	
																							CDON																							PNISR	CEP170B	TMED7		APBB1IP	CRYZ	TMEM117	
																							SIDT2																							IBTK	C14orf80	ISOC1		ANKRD16	CSF1	TUBA1C	
																							TRAPPC4																							SENP6	CCDC85C	SAR1B		FAM208B	DBT	SPRYD3	
																							SPA17																							FBXL4	ASPG	CDKL3		ARMC4	DPYD	MFSD5	
																							FXYD6																							SLC17A5	C14orf64	PRR16		MTPAP	S1PR1	COX14	
																							SIAE																							FILIP1	RTL1	COMMD10		SEC61A2	CELSR2	ZCRB1	
																							C11orf71																							SESN1	TMEM179	RAPGEF6		OLAH	EXTL2	CCDC65	
																							ROBO4																							OSTM1	C14orf180	ERAP1		MCM10	F3	FMNL3	
																							SLC35F2																							NDUFAF4	MIR127	PHAX		DHTKD1	FCGR1A	CERS5	
																							RAB39A																							DSE	MIR136	ZCCHC10		FRMD4A	FMO5	PCED1B	
																							BTG4																							TUBE1	MIR154	GIN1		KIAA1217	GBP1	KRT71	
																							NXPE4																							C6orf203	MIR203	TRIM36		PRTFDC1	GBP2	LARP4	
																							TTC12																							CDC40	MIR323A	RIOK2		CAMK1D	GBP3	SLC2A13	
																							C11orf57																							RWDD1	MIR337	FEM1C		GPR158	GFI1	LRRK2	
																							ELMOD1																							UBE2J1	MIR345	C5orf15		ARHGAP21	GJA5	FAM186A	
																							FOXRED1																							LGSN	MIR370	CDC42SE2		KIAA1462	GJA8	RHEBL1	
																							SCN3B																							COQ3	MIR381	ZNF608		SFMBT2	GNAT2	C12orf54	
																							VPS11																							PHIP	MIR431	SEMA6A		DNAJC1	GNG5	ZNF641	
																							TEX12																							SOBP	MIR323B	ARRDC3		DCLRE1C	GSTM1	OR10AD1	
																							CRTAM																							AKIRIN2	MIR409	EPB41L4A		SUV39H2	GSTM2	SP7	
																							IFT46																							QRSL1	MIR412	ERAP2		ECHDC3	GSTM3	KRT74	
																							PRDM10																							DDX43	MIR410	FBXL17		ASB13	GSTM4	ASB8	
																							DSCAML1																							FAM46A	MIR493	YTHDC2		TUBAL3	GSTM5	KRT72	
																							GRAMD1B																							TMEM30A	MIR432	GRAMD3		THNSL1	GTF2B	PRICKLE1	
																							ARHGAP20																							LMBRD1	MIR494	TXNDC15		FAM188A	HMGCS2	CPNE8	
																							USP28																							KCNQ5	MIR495	MCTP1		ITIH5	HSD3B1	KRT80	
																							PKNOX2																							RARS2	MIR496	NUDT12		AKR1E2	HSD3B2	GRASP	
																							TP53AIP1																							PDSS2	MIR487A	ATG10		FAM107B	IGSF3	KRT78	
																							ABCG4																							GOPC	RD3L	SPATA9		CCDC3	CYR61	ANO6	
																							ROBO3																							SMIM8	TEX22	TSSK1B		LYZL1	KCNA2	ARID2	
																							C11orf1																							LYRM2	MIR539	FAM172A		FBXO18	KCNA3	LINC00935	
																							RNF26																							SNX14	MIR544A	GPR98		PLXDC2	KCNA10	ZNF740	
																							FAM118B																							HACE1	MIR487B	ZCCHC9		MASTL	KCNC4	C12orf40	
																							NLRX1																							FAM135A	MIR411	ANKRD32		RBM17	KCND3	GXYLT1	
																							MSANTD2																							BEND3	MIR654	MEGF10		ACBD5	MOV10	TMPRSS12	
																							CLMP																							RRAGD	MIR655	TSLP		IDI2	MSH4	KRT6C	
																							PDZD3																							BACH2	MIR656	C5orf30		UCN3	NGF	KRT73	
																							C11orf63																							SMAP1	MIR758	LYRM7		LYZL2	NHLH2	C1QL4	
																							CCDC15																							C6orf164	MIR770	SLC25A46		MPP7	NOTCH2	KRT79	
																							TMPRSS5																							MICAL1	MIR300	CDKN2AIPNL		ENKUR	NRAS	ANKRD33	
																							PUS3																							MANEA	MIR541	ATP6AP1L		ARMC3	OVGP1	H1FNT	
																							MFRP																							LINC00472	MIR665	PRDM6		OTUD1	PDZK1	OR8S1	
																							BCO2																							KHDC1	MIR543	FTMT		ZNF438	PRKAB2	AMIGO2	
																							TMPRSS13																							GPR63	MIR889	FNIP1		UCMA	PRKACB	KRT77	
																							KIRREL3																							SPACA1	DIO3OS	MARCH3		C10orf111	PKN2	C12orf68	
																							BUD13																							SH3BGRL2	MIR1197	LYSMD3		FAM171A1	PSMA5	DBX2	
																							TMEM25																							ARMC2	MIR1193	SLCO6A1		SLC39A12	PTGFR	MIR4494	
																							RPUSD4																							MCHR2	MIR4309	PRRC1		NSUN6	PTGFRN	MIR4698	
																							UBASH3B																							FAXC	MIR151B	ZNF474		ARL5B	ABCD3		
																							DIXDC1																							GJA10	MIR4710	POU5F2		BEND7	RABGGTB		
																							ZC3H12C																							USP45	MIR2392	STARD4		PROSER2	RAP1A		
																							ESAM																							SLC22A16		WDR36		PTF1A	RPL5		
																							ALKBH8																							UBE3D		ACOT12		C10orf67	SORT1		
																							FDXACB1																							GTF3C6		SOWAHA		MKX	SARS		
																							C11orf52																							MRAP2		SHROOM1		C10orf126	SLC16A1		
																							TIRAP																							KLHL32		C5orf24		EBLN1	STXBP3		
																							C1QTNF5																							SLC16A10		C5orf20		PTCHD3	SYCP1		
																							PANX3																							RIPPLY2		CEP120		C10orf113	TBX15		
																							APOA5																							IRAK1BP1		SLC25A48		SKIDA1	TGFBR3		
																							TMEM45B																							CD109		TMEM167A		C10orf115	TSHB		
																							C11orf93																							PM20D2		MBLAC2		LRRC37A6P	VCAM1		
																							PIH1D2																							SRSF12		TMEM161B		C1QL3	CSDE1		
																							NXPE1																							KHDC3L		SRFBP1		LINC00200	EVI5		
																							NXPE2																							C6orf165		ARSK		PRR26	CDC7		
																							AMICA1																							PRSS35		FAM81B		TMEM236|ENSG00000148483.7	HIST2H2AC		
																							CWF19L2																							LCA5		CCDC112		MIR938	HIST2H2BE		
																							KDELC2																							C6orf163		DCP2		MIR1265	HIST2H4A		
																							LAYN																							AK9		LIX1		MIR548Q	BCAR3		
																							PATE1																							FAM26D		ADAMTS19		MIR4293	ITGA10		
																							C11orf65																							ZUFSP		C5orf27		MIR4675	LMO4		
																							ADAMTS15																							FAM162B		AQPEP		MIR548AK	CDC14A		
																							C11orf45																							HS3ST5		KIAA0825			RTCA		
																							HYLS1																							GPRC6A		RGMB			FPGT		
																							TMEM218																							RFX6		RFESD			PEX11B		
																							OR8B12																							VGLL2		CHSY3			FUBP1		
																							OR10G8																							LACE1		FAM170A			BCL10		
																							OR10G9																							MMS22L		FAM174A			SLC16A4		
																							OR10S1																							CEP57L1		CATSPER3			CD101		
																							OR6T1																							PPIL6		SLCO4C1			ZRANB2		
																							OR4D5																							DCBLD1		C5orf48			CHD1L		
																							TMEM136																							DPPA5		LINC00461			CLCA3P		
																							HEPACAM																							RSPH4A		C5orf56			CLCA2		
																							ANKK1																							EYS		CTXN3			HS2ST1		
																							RNF214																							GJB7		CCNI2			PDE4DIP		
																							FOXR1																							LIN28B		MIR583			LPPR4		
																							CCDC153																							MIR30A		TICAM2			SV2A		
																							OR8D1																							MIR30C2		MIR2277			RBM8A		
																							OR8D2																							FAM26F		MIR4280			PIGK		
																							OR8B4																							RFPL4B		MIR3660			TSPAN2		
																							C11orf44																							FAM229B		MIR3936			BCAS2		
																							CCDC84																							MIR587		MIR3661			WARS2		
																							TMEM225																							METTL24		MIR4460			CEPT1		
																							OR8D4																							TRAPPC3L		MIR5692C1			PIAS3		
																							C11orf53																							KHDC1L					VAV3		
																							BSX																							MIR2113					LAMTOR5		
																							OR6X1																							MIR4282					IFI44		
																							OR6M1																							MIR4464					POLR3C		
																							OR10G4																							MIR4643					TXNIP		
																							OR10G7																							MIR548AI					AP4B1		
																							OR8B3																							MIR4463					PHTF1		
																							OR8A1																												AHCYL1		
																							C11orf87																												IFI44L		
																							C11orf92																												ADAM30		
																							C11orf88																												CD160		
																							PATE2																												GLMN		
																							PATE4																												DDX20		
																							SNX19																												CLCA4		
																							MIRLET7A2																												MTF2		
																							MIR100																												NTNG1		
																							MIR125B1																												WDR47		
																							MIR34B																												USP33		
																							MIR34C																												CLCC1		
																							BLID																												LPHN2		
																							HEPN1																												KIAA1107		
																							CLDN25																												SLC35A3		
																							PATE3																												LRRC8B		
																							MIR4301																												LPAR3		
																							MIR4493																												DDAH1		
																							MIR4491																												NBPF14		
																							MIR4492																												RWDD3		
																																																			ZZZ3		
																																																			PTPN22		
																																																			PHGDH		
																																																			AK5		
																																																			CHIA		
																																																			GPSM2		
																																																			SLC25A24		
																																																			TMED5		
																																																			BOLA1		
																																																			SH3GLB1		
																																																			HAO2		
																																																			SNX7		
																																																			GPR89B		
																																																			TRIM33		
																																																			GPR88		
																																																			TRMT13		
																																																			RSBN1		
																																																			ZNHIT6		
																																																			GDAP2		
																																																			FAM46C		
																																																			PALMD		
																																																			FNBP1L		
																																																			ST7L		
																																																			PRPF38B		
																																																			LRRC8D		
																																																			PRMT6		
																																																			MCOLN3		
																																																			SLC22A15		
																																																			RNPC3		
																																																			LRIF1		
																																																			CTTNBP2NL		
																																																			FAM212B		
																																																			CCBL2		
																																																			OLFML3		
																																																			AMIGO1		
																																																			ODF2L		
																																																			PTBP2		
																																																			DNASE2B		
																																																			ELTD1		
																																																			HIAT1		
																																																			RBM15		
																																																			DCLRE1B		
																																																			WDR77		
																																																			EPS8L3		
																																																			VTCN1		
																																																			SIKE1		
																																																			TRIM45		
																																																			VANGL1		
																																																			GPR61		
																																																			REG4		
																																																			SYDE2		
																																																			ZNF644		
																																																			LRRC8C		
																																																			POLR3GL		
																																																			PROK1		
																																																			PSRC1		
																																																			STRIP1		
																																																			ZNF697		
																																																			NEXN		
																																																			HENMT1		
																																																			GBP4		
																																																			GBP5		
																																																			SSX2IP		
																																																			OLFM3		
																																																			WDR63		
																																																			MAB21L3		
																																																			SLC44A3		
																																																			ATXN7L2		
																																																			C1orf194		
																																																			ASB17		
																																																			TYW3		
																																																			C1orf173		
																																																			LRRIQ3		
																																																			LRRC39		
																																																			LIX1L		
																																																			DRAM2		
																																																			PIFO		
																																																			C1orf162		
																																																			SYT6		
																																																			SAMD13		
																																																			TMEM56		
																																																			NBPF4		
																																																			HFE2		
																																																			ANKRD35		
																																																			SLC30A7		
																																																			NBPF12		
																																																			CHIAP2		
																																																			FNDC7		
																																																			SASS6		
																																																			PPIAL4A		
																																																			HFM1		
																																																			UBL4B		
																																																			NBPF11		
																																																			SPAG17		
																																																			HIPK1		
																																																			SLC44A5		
																																																			EPHX4		
																																																			AKNAD1		
																																																			MCOLN2		
																																																			COL24A1		
																																																			MAGI3		
																																																			FAM19A3		
																																																			NBPF16		
																																																			FAM102B		
																																																			SYPL2		
																																																			CYB561D1		
																																																			ANKRD34A		
																																																			ZNF326		
																																																			BTBD8		
																																																			HIST2H2AB		
																																																			PPM1J		
																																																			CCDC18		
																																																			MYBPHL		
																																																			FAM73A		
																																																			GBP7		
																																																			C1orf146		
																																																			FAM69A		
																																																			SLC6A17		
																																																			C1orf137		
																																																			NOTCH2NL		
																																																			FRRS1		
																																																			NBPF9		
																																																			MIR197		
																																																			LHX8		
																																																			C1orf180		
																																																			HIST2H2BF		
																																																			RBMXL1		
																																																			HIST2H4B		
																																																			PPIAL4G		
																																																			PPIAL4D		
																																																			NBPF6		
																																																			PPIAL4B		
																																																			GPR89A		
																																																			PPIAL4C		
																																																			HIST2H3D		
																																																			FAM72B		
																																																			HIST2H2AA4		
																																																			FAM72D		
																																																			GPR89C		
																																																			MIR760		
																																																			NBPF20		
																																																			MIR320B1		
																																																			TNNI3K		
																																																			MIR378G		
																																																			MIR137HG		
																																																			MIR4423		
