cytoband	9p21.3	13q14.2	5q12.1	4q22.1	2q37.1	16p13.3	2q22.1	3p14.2	16q23.1	10q23.31	14q24.1	6p25.3	4q34.2	19p13.3	11p15.5	8p23.3	18q23	17p12	22q13.32	2q34	15q13.1	1p36.11	9p23	Xp11.3	6q21	11q23.3	1q32.1	6q27	Xq21.33	12p13.1	7q36.3	8p21.3	9q22.33	11q25	10p11.21	12q24.33	
					TRPM8																				REV3L	SLN	ACTA1	PPIL4				MSRA	KIAA0368	SCN2B	SKIDA1		
					MLPH																				ROS1	SORL1	ADORA1	SYTL3				NEFM	TDRD7	SCN4B	C10orf115		
					IQCA1																				SIM1	SRPR	PARP1	TAGAP				PCM1	SLC44A1	SDHD	LRRC37A6P		
					TM4SF20																				SMPD2	ST14	AGT	PACRG				PDGFRL	TMEM245	ST3GAL4	TMEM236|ENSG00000148483.7		
					C2orf54																				ELOVL4	TAGLN	ARF1	RAET1E				PNOC	NIPSNAP3A	SLN	MIR938		
					ARMC9																				MAP3K7	TECTA	ATF3	RAET1L				PPP2CB	OR2K2	SORL1	MTRNR2L7		
					EFHD1																				NR2E1	UPK2	ATP2B4	PNLDC1				PPP2R2A	INVS	SRPR	MIR3611		
					SPHKAP																				TPBG	ZBTB16	C4BPA	DACT2				PPP3CC	C9orf156	ST14	MIR4675		
					SLC19A3																				TTK	ZNF202	C4BPB	C6orf118				SFTPC	NANS	TAGLN			
					ILKAP																				DDO	CUL5	CACNA1S	OSTCP1				SLC7A2	MRPL50	TECTA			
					ITM2C																				SNX3	BARX2	CAPN2	WDR27				SLC18A1	EPB41L4B	UPK2			
					RHBDD1																				RNGTT	USP2	CD34	PRR18				STC1	NUTM2F	ZBTB16			
					ING5																				CD164	HTR3B	CENPF	NUP43				WRN	DIRAS2	ZNF202			
					DNER																				WISP3	ZW10	CHI3L1	RAET1G				FZD3	ASPN	CUL5			
					B3GNT7																				WASF1	UBE4A	CHIT1	SUMO4				TUSC3	TEX10	BARX2			
					SP140L																				TBX18	EI24	CR1	C6orf120				TNKS	FAM206A	USP2			
					AGAP1																				HMGN3	FEZ1	CR1L	IYD				ADAM7	NOL8	HTR3B			
					TWIST2																				FHL5	ARHGAP32	CR2	TCP10L2				TNFRSF10D	TMEM38B	ZW10			
					DIS3L2																				ATG5	RBM7	CSRP1	LINC00242				TNFRSF10C	NIPSNAP3B	UBE4A			
					NEU4																				ZBTB24	MPZL2	CTSE	GTF2H5				TNFRSF10B	TBC1D2	EI24			
					SPATA3																				SNAP91	HYOU1	CD55	TMEM242				DOK2	HEMGN	FEZ1			
					FBXO36																				FIG4	ATP5L	EIF2D	MIR1202				MFHAS1	BARX1	ARHGAP32			
					MTERFD2																				TRDN	ADAMTS8	ELF3	MIR1273C				ENTPD4	RNF20	RBM7			
					UBE2F																				SYNCRIP	TREH	ELK4	MIR3918				PHYHIP	SLC46A2	MPZL2			
					OTOS																				SLC35A1	CEP164	EPHX1	MIR3939				SORBS3	ZNF462	HYOU1			
					MYEOV2																				FUT9	EXPH5	EPRS	MIR4466				NPM2	SUSD1	ATP5L			
					OR6B3																				TRAF3IP2	PHLDB1	ESRRG					DLC1	IPPK	ADAMTS8			
					SLC16A14																				SMPDL3A	ARHGEF12	F13B					SPAG11B	WNK2	TREH			
					LINC00471																				PNRC1	SIK3	FMOD					DCTN6	SECISBP2	CEP164			
					DAW1																				ASCC3	VSIG2	NR5A2					PNMA2	GALNT12	IGSF9B			
					C2orf57																				BVES	BACE1	GALNT2					ADAM28	SVEP1	EXPH5			
					TIGD1																				SEC63	TRIM29	GPR25					RBPMS	ZNF484	PHLDB1			
					C2orf72																				KIAA1009	CADM1	GUK1					LZTS1	FSD1L	NCAPD3			
					DUSP28																				ANKRD6	POU2F3	H3F3A					XPO7	HSDL2	ARHGEF12			
					MROH2A																				RIMS1	REXO2	CFH					TRIM35	C9orf89	SIK3			
					ESPNL																				DOPEY1	OR8B8	CFHR1					RHOBTB2	HIATL2	VSIG2			
					AQP12A																				ZNF292	TIMM8B	CFHR2					KIF13B	HIATL1	BACE1			
					KLHL30																				CDK19	OR8B2	HSD11B1					PSD3	C9orf3	TRIM29			
					C2orf82																				MDN1	DCPS	IL10					LEPROTL1	FGD3	CADM1			
					OR6B2																				TSPYL4	ZBTB44	IRF6					SLC39A14	PALM2	POU2F3			
					ASB18																				UFL1	DDX25	ITPKB					ADAMDEC1	GRIN3A	REXO2			
					PRR21																				ORC3	NTM	KCNK2					CNOT7	PTPDC1	OR8B8			
					PRSS56																				MTO1	CDON	KISS1					PURG	ANKRD19P	TIMM8B			
					AQP12B																				ASF1A	SIDT2	LAD1					SCARA3	OR13C5	OR8B2			
					D2HGDH																				PNISR	TRAPPC4	LAMB3					TMEM66	OR13C8	ACAD8			
					MIR1471																				IBTK	SPA17	LBR					KCTD9	OR13C3	B3GAT1			
					MIR4269																				SENP6	FXYD6	MARK1					PINX1	OR13C4	DCPS			
					MIR4786																				FBXL4	SIAE	CD46					PIWIL2	OR13F1	ZBTB44			
					MIR5001																				SLC17A5	C11orf71	MDM4					ELP3	FAM120AOS	THYN1			
					MIR5703																				FILIP1	ROBO4	MYBPH					INTS10	ZNF483	DDX25			
																									SESN1	SLC35F2	MYOG					CCDC25	C9orf84	NTM			
																									OSTM1	RAB39A	PPP1R12B					INTS9	KIAA1958	CDON			
																									NDUFAF4	BTG4	NEK2					CSGALNACT1	TSTD2	SIDT2			
																									DSE	NXPE4	NVL					HR	ZNF782	TRAPPC4			
																									TUBE1	TTC12	CDK18					PBK	ZNF367	SPA17			
																									C6orf203	C11orf57	PFKFB2					ZNF395	ANKS6	FXYD6			
																									CDC40	ELMOD1	PIGR					BIN3	SUSD3	SIAE			
																									RWDD1	FOXRED1	PIK3C2B					TEX15	TXNDC8	C11orf71			
																									UBE2J1	SCN3B	PKP1					MTUS1	C9orf47	ROBO4			
																									COQ3	VPS11	PLXNA2					KIAA1456	OR13C9	SLC35F2			
																									PHIP	TEX12	PPP2R5A					KIAA1967	OR13D1	RAB39A			
																									SOBP	CRTAM	PRELP					SH2D4A	MURC	BTG4			
																									AKIRIN2	IFT46	PROX1					PDLIM2	ERCC6L2	NXPE4			
																									QRSL1	PRDM10	PSEN2					EBF2	OR13C2	TTC12			
																									DDX43	DSCAML1	PTPN7					FAM160B2	C9orf152	C11orf57			
																									FAM46A	GRAMD1B	PTPN14					MTMR9	SNX30	ELMOD1			
																									TMEM30A	ARHGAP20	PTPRC					DUSP26	MIRLET7A1	FOXRED1			
																									LMBRD1	USP28	RAB4A					HMBOX1	MIRLET7D	SCN3B			
																									KCNQ5	CARD18	RBBP5					MCPH1	MIRLET7F1	VPS11			
																									RARS2	AASDHPPT	REN					PPP1R3B	NUTM2G	TEX12			
																									PDSS2	PKNOX2	RGS1					RNF122	C9orf129	CRTAM			
																									GOPC	TP53AIP1	RGS2					DOCK5	DNAJC25	IFT46			
																									SMIM8	ABCG4	RGS13					TTI2	MIR3074	PRDM10			
																									LYRM2	ROBO3	RNPEP					REEP4	MIR4291	DSCAML1			
																									SNX14	C11orf1	SRP9					STMN4	MIR4290	GRAMD1B			
																									SERINC1	RNF26	TROVE2					SOX7	MIR4289	ARHGAP20			
																									HACE1	FAM118B	CNTN2					FAM167A	CCDC180	USP28			
																									FAM135A	DYNC2H1	TGFB2					SLC35G5	MIR3927	CARD18			
																									BEND3	NLRX1	LEFTY2					MAK16	MIR4670	AASDHPPT			
																									RRAGD	MSANTD2	TLR5					FUT10		PKNOX2			
																									BACH2	CLMP	TNNI1					FAM86B1		TP53AIP1			
																									SMAP1	PDZD3	TNNT2					ERI1		ABCG4			
																									C6orf164	C11orf63	TP53BP2					LONRF1		ROBO3			
																									MICAL1	CCDC15	TRAF5					CHMP7		C11orf1			
																									FAM184A	PDGFD	TSNAX					RP1L1		RNF26			
																									MANEA	TMPRSS5	USH2A					CLDN23		FAM118B			
																									LINC00472	PUS3	BTG2					VPS37A		DYNC2H1			
																									KHDC1	MFRP	HIST3H3					SGCZ		NLRX1			
																									GPR63	BCO2	GNPAT					UNC5D		MSANTD2			
																									SPACA1	TMPRSS13	DYRK3					DEFB104A		CLMP			
																									SH3BGRL2	DCUN1D5	CDC42BPA					PEBP4		PDZD3			
																									ARMC2	MSANTD4	PPFIA4					CDCA2		C11orf63			
																									MCHR2	KIRREL3	DEGS1					ESCO2		CCDC15			
																									FAXC	BUD13	B3GALT2					FBXO16		PDGFD			
																									GJA10	TMEM25	RAB7L1					TDH		TMPRSS5			
																									USP45	RPUSD4	TAF1A					C8orf48		PUS3			
																									SLC22A16	UBASH3B	MAPKAPK2					R3HCC1		MFRP			
																									UBE3D	DIXDC1	SOX13					PRSS55		JAM3			
																									GTF3C6	ZC3H12C	IKBKE					C8orf74		BCO2			
																									MRAP2	ESAM	TMEM63A					LGI3		TMPRSS13			
																									KLHL32	ALKBH8	URB2					DEFB106A		DCUN1D5			
																									NUS1	FDXACB1	ZC3H11A					DEFB107A		MSANTD4			
																									SLC16A10	C11orf52	TMCC2					DEFB130|ENSG00000232948.1		KIRREL3			
																									RIPPLY2	TIRAP	LPGAT1					NEIL2		BUD13			
																									IRAK1BP1	CARD16	KIF14					XKR6		TMEM25			
																									CD109	C1QTNF5	BPNT1					MICU3		RPUSD4			
																									PM20D2	PANX3	TIMM17A					SCARA5		UBASH3B			
																									SRSF12	APOA5	LRRN2					USP17L2		DIXDC1			
																									RNF217	TMEM45B	LEFTY1					NUGGC		ZC3H12C			
																									NKAIN2	C11orf93	SPHAR					LINC00599		GLB1L2			
																									KHDC3L	PIH1D2	CAPN9					MIR320A		ESAM			
																									C6orf165	NXPE1	KDM5B					DEFB103A		ALKBH8			
																									PRSS35	NXPE2	CFHR4					DEFB107B		FDXACB1			
																									LCA5	AMICA1	CFHR3					DEFB104B		C11orf52			
																									C6orf163	KBTBD3	IL24					DEFB106B		VPS26B			
																									AK9	CWF19L2	DUSP10					C8orf58		GLB1L3			
																									FAM26D	KDELC2	COG2					DEFB135		TIRAP			
																									ZUFSP	LAYN	PLEKHA6					DEFB136		CARD16			
																									FAM162B	PATE1	KIF21B					MBOAT4		C1QTNF5			
																									TBC1D32	C11orf65	NFASC					SPAG11A		PANX3			
																									HS3ST5	ADAMTS15	FBXO28					DEFA1B		APOA5			
																									GPRC6A	C11orf45	CAMSAP2					ZNF705D		TMEM45B			
																									RFX6	HYLS1	CRB1					ZNF705B		C11orf93			
																									SLC35F1	TMEM218	ABCB10					DEFB4B		PIH1D2			
																									VGLL2	OR8B12	ZNF281					MIR548I3		NXPE1			
																									LACE1	OR10G8	PHLDA3					MIR548H4		NXPE2			
																									MMS22L	OR10G9	DSTYK					MIR3148		AMICA1			
																									MCM9	OR10S1	RAB3GAP2					MIR4288		KBTBD3			
																									CEP57L1	OR6T1	LMOD1					MIR4286		CWF19L2			
																									PPIL6	OR4D5	INTS7					MIR3622B		KDELC2			
																									DCBLD1	TMEM136	NSL1					SMIM18		LAYN			
																									DPPA5	HEPACAM	OPTC					MIR4660		PATE1			
																									RSPH4A	ANKK1	RPS6KC1					MIR5692A2		C11orf65			
																									GJB7	RNF214	DIEXF							ADAMTS15			
																									CEP85L	FOXR1	TAF5L							C11orf45			
																									LIN28B	CCDC153	DISC1							HYLS1			
																									MIR30A	OR8D1	FLVCR1							TMEM218			
																									MIR30C2	OR8D2	UBE2T							OR8B12			
																									FAM26F	OR8B4	CNIH4							OR10G8			
																									RFPL4B	C11orf44	PYCR2							OR10G9			
																									FAM229B	CCDC84	NENF							OR10S1			
																									MIR587	TMEM225	IL19							OR6T1			
																									METTL24	OR8D4	G0S2							OR4D5			
																									TRAPPC3L	C11orf53	RRP15							TMEM136			
																									KHDC1L	BSX	GLRX2							SPATA19			
																									MIR2113	OR6X1	ADIPOR1							HEPACAM			
																									MIR3144	OR6M1	TRIM17							ANKK1			
																									MIR4282	OR10G4	KCTD3							RNF214			
																									MIR4464	OR10G7	UCHL5							FOXR1			
																									MIR4643	OR8B3	DTL							CCDC153			
																									MIR548AI	OR8A1	CYB5R1							OR8D1			
																									MIR4463	C11orf87	EGLN1							OR8D2			
																										C11orf92	MAP10							OR8B4			
																										C11orf88	LAX1							C11orf44			
																										PATE2	MARC2							CCDC84			
																										PATE4	SUSD4							TMEM225			
																										SNX19	GPATCH2							OR8D4			
																										MIRLET7A2	KLHDC8A							C11orf53			
																										MIR100	ETNK2							BSX			
																										MIR125B1	TMEM206							OR6X1			
																										MIR34B	YOD1							OR6M1			
																										MIR34C	BATF3							OR10G4			
																										DDI1	IARS2							OR10G7			
																										BLID	IPO9							OR8B3			
																										CARD17	HHAT							OR8A1			
																										HEPN1	ENAH							C11orf87			
																										CLDN25	NUP133							C11orf92			
																										PATE3	RCOR3							C11orf88			
																										MIR4301	C1orf106							PATE2			
																										CASP12	SMYD2							PATE4			
																										MIR4493	LHX9							SNX19			
																										MIR4491	ADCK3							MIRLET7A2			
																										MIR4492	GJC2							MIR100			
																										MIR4693	CAMK1G							MIR125B1			
																											SIPA1L2							MIR34B			
																											RHOU							MIR34C			
																											KLHL12							DDI1			
																											LGR6							BLID			
																											RGS18							CARD17			
																											NUCKS1							HEPN1			
																											ACBD3							CLDN25			
																											MARC1							PATE3			
																											ARV1							MIR4301			
																											AIDA							CASP12			
																											JMJD4							MIR4697			
																											C1orf116							MIR4493			
																											C1orf35							MIR4491			
																											TTC13							MIR4492			
																											CDC73							MIR4693			
																											PGBD5										
																											C1orf115										
																											HHIPL2										
																											VASH2										
																											WDR26										
																											TRAF3IP3										
																											CFHR5										
																											TRIM11										
																											NUAK2										
																											DDX59										
																											RASSF5										
																											MIXL1										
																											SPRTN										
																											FCAMR										
																											OBSCN										
																											LINC00467										
																											C1orf198										
																											PPP1R15B										
																											DISP1										
																											SLC45A3										
																											WNT3A										
																											NAV1										
																											ANGEL2										
																											IGFN1										
																											TMEM183A										
																											HIST3H2A										
																											LEMD1										
																											SLC26A9										
																											SNAP47										
																											CCSAP										
																											LYPLAL1										
																											ATP6V1G3										
																											DNAH14										
																											ARL8A										
																											SYT2										
																											GOLT1A										
																											C1orf131										
																											MRPL55										
																											HIST3H2BB										
																											TATDN3										
																											NEK7										
																											C1orf74										
																											BROX										
																											MFSD4										
																											PM20D1										
																											CNIH3										
																											SHISA4										
																											EXOC8										
																											C1orf227										
																											FAM71A										
																											DENND1B										
																											SDE2										
																											C1orf65										
																											IBA57										
																											TMEM9										
																											SLC41A1										
																											SYT14										
																											ASPM										
																											LINC00303										
																											LIN9										
																											FAM5C										
																											PRSS38										
																											RD3										
																											KCNT2										
																											ZBTB41										
																											MIA3										
																											C1orf95										
																											FAM89A										
																											C1orf53										
																											TMEM81										
																											FAM177B										
																											MIR181B1										
																											MIR181A1										
																											MIR215										
																											C1orf132										
																											RGS21										
																											TRIM67										
																											MIR135B										
																											C1orf145										
																											C1orf148										
																											MIR4666A										
