cytoband	13q14.3	14q21.2	22q13.32	10q21.2	8p23.2	16q23.3	8q24.22	10q23.31	22q13.1	8p12	4q34.3	10p12.31	8p22	7q34	21q21.1	18q21.33	2q22.1	15q25.3	13q12.3	5p15.2	20p12.1	19p13.12	1q42.13	2q37.3	19p13.2	2p23.1	7q22.3	5p13.1	9p21.3	17p13.1	Xq28	7p22.1	9q22.33	
	MIR3613					MTHFSD	snoU13|ENSG00000238450.1	RN7SKP202	IFT27										N6AMT2			BRD4		IGFBP2	C3			snoU13|ENSG00000238745.1	RN7SL659P	snoZ178	snoU13|ENSG00000238811.1	NAA38	RN7SL659P	
	MIR4704					DBNDD1	RNA5SP270	RN7SL220P	TRIOBP										SKA3			CASP14		IGFBP5	CACNA1A			SNORD63|ENSG00000206989.1	RNA5SP292	RN7SL699P	RN7SL266P	RNA5SP239	RNA5SP292	
	MIR548X2					KLHL36	RN7SL675P	RN7SL394P	CDC42EP1										MICU2			FKBP8		IHH	CALR			SNORD63|ENSG00000222937.1	RN7SKP77	snoU13|ENSG00000238815.1	MIR4329	CAPZA2	RN7SKP77	
	MIR4703					CMIP	RN7SKP29	LRRTM3	DMC1										SPATA13			TMEM59L		CXCR1	CD70			RN7SL682P	RN7SKP191	snoU13|ENSG00000239135.1	ZCCHC16	snoZ185	RN7SKP191	
	MIR5007					CDT1	RNA5SP269	snoU13|ENSG00000239000.1	PACSIN2										LNX2			PGLS		CXCR2	CDC34			snoU13|ENSG00000238605.1	RNA5SP291	HILS1	TRPC5OS	SNORA25|ENSG00000202377.1	RNA5SP291	
	MIR5693					MAP1LC3B	PREX2	snoR442|ENSG00000252203.1	TNRC6B										PAN3			LSM4		INHA	CDKN2D			NPY6R	LINC00587	NXPH3	RNA5SP512	MIR3666	LINC00587	
						DYNLRB2	RNA5SP268	MIR1296	TTLL12										SLC46A3			FAM32A		INPP5D	CIRBP			MIR874	TMEM246	ZNF652	RN7SL661P	RNA5SP238	TMEM246	
						HSDL1	SNORD87	RN7SL591P	ZC3H7B										C1QTNF9			OR7A17		IRS1	CNN1			RNA5SP193	SNORA31|ENSG00000253041.1	snoU13|ENSG00000238804.1	LINC00890	TSRM	SNORA31|ENSG00000253041.1	
						CRISPLD2	LINC00967	ACTA2	GCAT										RASL11A			OR10H3		KCNJ13	CNN2			FBXL21	LPPR1	SNF8	TDGF1P3	TMEM168	LPPR1	
						SPIRE2	PDE7A	ADK	CBX6										C1QTNF9B			OR10H2		NDUFA10	CSNK1G2			TIFAB	RN7SKP87	SNORA68|ENSG00000212565.1	GNG5P2	IFRD1	RN7SKP87	
						CENPBD1	LINC00966	ANXA7	NPTXR										SHISA2			OR10H1		SEPT2	DAPK3			MIR4461	MSANTD3	RN7SL125P	SNORD96B	RN7SKP187	MSANTD3	
						ZNF276	RN7SKP135	ANXA11	CBX7										ATP5EP2			OR7C2		NEU2	DHPS			MIR4461	RN7SL75P	HOXB4	MIR3978	RNA5SP237	RN7SL75P	
						SDR42E1	RN7SL135P	FAS	SLC16A8													OR7C1		PAX3	DNASE2			PCBD2	STX17	HOXB3	MIR652	snoU13|ENSG00000238922.1	STX17	
						PKD1L2	NKAIN3	ARL3	RBFOX2													AKAP8L		PDCD1	DNM2			RN7SL541P	RN7SKP225	HOXB2	MID2	FLJ00325	RN7SKP225	
						RNF166	RN7SKP97	CAMK2G	RASD2													ARRDC2		PDE6D	DNMT1			PPP2CA	ALG2	HOXB1	NCBP2L	U3|ENSG00000238297.1	ALG2	
						C16orf46	CA8	ENTPD1	SH3BP1													CPAMD8		SERPINE2	EEF2			SKP1	RN7SL794P	U3|ENSG00000200538.1	RBM41	snoU109|ENSG00000238832.1	RN7SL794P	
						DNAAF1	RNA5SP267	CHUK	MAFF													BABAM1		PPP1R7	EFNA2			snoU13|ENSG00000238796.1	RNA5SP290	MIR1203	MIR548AN	RNA5SP236	RNA5SP290	
						SPATA2L	SNORA51|ENSG00000206853.1	ABCC2	APOL2													EMR2		PSMD1	ELANE			HSPA4	CTSV	MIR152	ZCCHC18	SNORD112|ENSG00000251911.1	CTSV	
						SPATA33	snoU13|ENSG00000238433.1	COL13A1	CBY1													ISYNA1		PTMA	ELAVL1			LEAP2	AAED1	PNPO	RNA5SP511	RN7SL8P	AAED1	
						ZC3H18	LINC00588	CPN1	SUN2													TM6SF2		PTPRN	ELAVL3			UQCRQ	LINC00092	KPNB1	LINC00630	LHFPL3	LINC00092	
						CDYL2	RNA5SP266	CYP2C8	TTLL1													DDX49		SAG	EMR1			RNA5SP192	RNA5SP289	MRPL45P2	NXF4	RN7SKP86	RNA5SP289	
						SLC38A8	LINC00968	CYP2C9	TXN2													GATAD2A		CCL20	EPOR			snoZ6|ENSG00000253067.1	DKFZP434H0512	ITGB3	TCP11X1	RN7SKP198	DKFZP434H0512	
						ADAD2	SDR16C6P	CYP2C18	TMEM184B													PGPEP1		SLC4A3	FARSA			HINT1	LINC00476	snoU13|ENSG00000252088.1	TCP11X3P	FAM185A	LINC00476	
						ZNF778	SNORA3|ENSG00000221093.1	CYP17A1	GGA1													CC2D1A		SLC11A1	FCER2			RNA5SP191	snoU13|ENSG00000238746.1	RN7SL270P	TCEAL6	POLR2J2	snoU13|ENSG00000238746.1	
						ACSF3	SNORD54	CYP26A1	ARFGAP3													TMEM161A		SP100	FUT3			RNU6ATAC10P	RNA5SP288	LRRC37A17P	SNORA9|ENSG00000202231.1	MIR4467	RNA5SP288	
						LINC00304	RPS20	DNA2	CYTH4													C19orf60		SPP2	FUT5			KIAA1024L	MIR27B	RNU6ATAC3P	TSPAN6	MIR5090	MIR27B	
						SNAI3	RN7SL323P	DNTT	CSDC2													MAP1S		TNP1	FUT6			MIR4633	MIR23B	FAM215B	SNORA25|ENSG00000252296.1	MIR4285	MIR23B	
						FAM92B	RN7SL798P	EGR2	MCAT													KLHL26		TNS1	GAMT			C5orf63	MIR2278	RN7SL199P	RN7SL74P	SH2B2	MIR2278	
						CTU2	SNORA1|ENSG00000199405.1	EIF4EBP2	DESI1													TRMT1		TUBA4A	GCDH			RN7SKP117	PCAT7	RN7SL656P	RN7SKP194	SNORA48|ENSG00000252824.1	PCAT7	
						PABPN1L	ADCY8	GLUD1	SGSM3													ASF1B		WNT6	GNA15			RN7SL711P	ZNF169	RN7SL739P	RN7SL379P	RABL5	ZNF169	
						C16orf74	ANGPT1	GOT1	CARD10													USE1		XRCC5	GNG7			RN7SL689P	snoU13|ENSG00000238792.1	LRRC37A4P	RNA5SP510	MIR4653	snoU13|ENSG00000238792.1	
						MIR1910	ANXA13	GRID1	EIF3L													ANO8		ZNF142	MKNK2			snoU13|ENSG00000239103.1	MIRLET7DHG	RN7SL730P	ACA64|ENSG00000252016.1	RN7SKP54	MIRLET7DHG	
						C16orf95	ASPH	HELLS	A4GALT													SUGP1		SCG2	GPX4			snoU13|ENSG00000252295.1	CENPP	RNA5SP443	SNORD45|ENSG00000200422.1	MUC3A	CENPP	
						MIR5093	ATP6V1C1	HK1	SMCR7L													CYP4F11		CUL3	GTF2F1			snoU13|ENSG00000239067.1	SNORA84	MAP3K14	MIR361	MUC3A	SNORA84	
							OSGIN2	HNRNPH3	SEPT3													EPS15L1		DGKD	GZMM			snoU13|ENSG00000239084.1	snoU13|ENSG00000238996.1	FAM187A	APOOL	RN7SL549P	snoU13|ENSG00000238996.1	
							CA1	TLX1	TOMM22													WIZ		STK16	ICAM1			RNA5SP190	LINC00475	CCDC103	UBE2DNL	RN7SL750P	LINC00475	
							CA2	HPS1	PDXP													RASAL3		PER2	ICAM3			RN7SL174P	LINC00484	RN7SL405P	RPS6KA6	SAP25	LINC00484	
							CA3	HTR7	MKL1													MRPL34		CDK5R2	ICAM4			TNFAIP8	MIR3153	RN7SL819P	SNORA4|ENSG00000202183.1	RN7SL416P	MIR3153	
							CALB1	IDE	APOBEC3G													ZSWIM4		RQCD1	ILF3			MIR5706	SHC3	FZD2	ACA64|ENSG00000239008.1	RN7SL161P	SHC3	
							RUNX1T1	IFIT2	XPNPEP3													CYP4F12		LRRFIP1	INSR			snoU13|ENSG00000239011.1	U3|ENSG00000252299.1	RN7SL258P	CYSLTR1	STAG3L5P	U3|ENSG00000252299.1	
							CDH17	IFIT3	CENPM													DDA1		GPR55	JUNB			DTWD2	U6|ENSG00000271923.1	GPATCH8	COX7B	PILRB	U6|ENSG00000271923.1	
							COX6C	KCNMA1	C22orf46													KXD1		TRIP12	LDLR			ARL14EPL	SPATA31C1	U3|ENSG00000221496.1	RN7SL460P	GATS	SPATA31C1	
							CRH	KIF11	KCTD17													SMIM7		ECEL1	LYL1			AP3S1	SNORA26|ENSG00000212421.1	RN7SL507P	FGF16	MIR4658	SNORA26|ENSG00000212421.1	
							CYP7A1	LIPA	CCDC134													C19orf57		EIF4E2	MAN2B1			RN7SKP89	RN7SKP264	U3|ENSG00000221044.1	RNA5SP509	MIR106B	RN7SKP264	
							DECR1	MAT1A	FOXRED2													ABHD8		TTLL4	MATK			RNU4ATAC13P	IDNK	C17orf105	RNA5SP508	MIR93	IDNK	
							DPYS	NDUFB8	BAIAP2L2													OCEL1		HDAC4	MYO1F			ZRSR1	SNORD112|ENSG00000252256.1	LINC00910	RN7SL641P	MIR25	SNORD112|ENSG00000252256.1	
							E2F5	NFKB2	APOL6													COLGALT1		FARP2	GADD45B			SRP19	snoU13|ENSG00000238608.1	LINC00854	RN7SL790P	AZGP1P1	snoU13|ENSG00000238608.1	
							EYA1	P4HA1	APOL5													EPHX3		FARSB	HNRNPM			FLJ11235	RN7SKP242	SNORA40|ENSG00000212149.1	RN7SL648P	SNORA40|ENSG00000222966.1	RN7SKP242	
							FABP4	PAX2	APOL3													PODNL1		ABCB6	NDUFA7			SNORA13	SPATA31D3	RNY4P2	FTX	CYP3A4	SPATA31D3	
							FABP5	PCBD1	L3MBTL2													SLC35E1		ARPC2	NFIC			RN7SKP57	SPATA31D4	G6PC	JPX	snoU13|ENSG00000239133.1	SPATA31D4	
							GEM	PDE6C	POLDIP3													KIAA1683		ARL4C	NFIX			CAMK4	SPATA31D5P	AOC4P	XIST	MYH16	SPATA31D5P	
							HNF4G	PGAM1	C22orf23													CCDC130		RAMP1	NRTN			SNORA51|ENSG00000207177.1	SNORD95|ENSG00000200969.1	CNTD1	TSIX	snoU13|ENSG00000238459.1	SNORD95|ENSG00000200969.1	
							IL7	PITX3	PHF5A													PLVAP		SPEG	OAZ1			MIR548F3	RNA5SP287	CCR10	MAP2K4P1	MIR3609	RNA5SP287	
							IMPA1	PLAU	MICALL1													USHBP1		NMUR1	P2RY11			TMEM232	TLE4	HSD17B1	CDX4	RN7SL13P	TLE4	
							EIF3E	PPA1	ISX													TSSK6		STK25	PALM			RN7SKP230	RN7SKP59	MIR5010	LINC00684	RN7SL478P	RN7SKP59	
							KCNQ3	PPP1R3C	RPS19BP1													C19orf44		CAPN10	PDE4A			FER	GNAQ	MIR548AT	FAM226A	RN7SKP104	GNAQ	
							LYN	PPP3CB	SMDT1													MRI1		SP140	PIN1			RN7SKP122	PCA3	ZNF385C	U3|ENSG00000202482.1	RN7SL252P	PCA3	
							MATN2	PRF1	SERHL													ZNF333		IKZF2	POLRMT			RN7SL782P	snoU13|ENSG00000238598.1	TTC25	RPS4X	SHFM1	snoU13|ENSG00000238598.1	
							MOS	SRGN	ELFN2													EMR3		PASK	PRKACA			SNORA31|ENSG00000252337.1	RNY4P1	RN7SL871P	RN7SL264P	MIR591	RNY4P1	
							MYBL1	PSAP	C1QTNF6													GTPBP3		ATG4B	PRKCSH			RNA5SP189	RN7SKP47	RN7SL399P	RN7SL388P	PON1	RN7SKP47	
							MYC	PSD	TNFRSF13C													MPV17L2		OBSL1	MAP2K2			RN7SL255P	RNA5SP286	RNA5SP442	CXorf49B	snoU13|ENSG00000238384.1	RNA5SP286	
							NBN	ALDH18A1	ANKRD54													HSH2D		DNPEP	MAP2K7			LINC00491	snoU13|ENSG00000238402.1	EIF1	CXorf49	RN7SKP129	snoU13|ENSG00000238402.1	
							NDUFB9	RBP4	APOBEC3D													SYDE1		SH3BP4	PSPN			LINC00492	RNA5SP285	KRT42P	INGX	GNG11	RNA5SP285	
							NOV	RPS24	ENTHD1													DCAF15		KCNE4	PRTN3			RN7SKP68	MIR204	LINC00974	snoU13|ENSG00000252525.1	MIR489	MIR204	
							ODF1	SCD	DNAJB7													GADD45GIP1		NGEF	PTBP1			RNA5SP188	RN7SL570P	KRT223P	CXorf65	MIR653	RN7SL570P	
							TNFRSF11B	SFRP5	CHADL													HAUS8		PNKD	PTPRS			RN7SL802P	CBWD3	KRT222	RN7SL746P	RN7SL7P	CBWD3	
							ENPP2	SFTPD	MEI1													MVB12A		SNED1	RAD23A			MIR548P	PGM5P2	KRT222	U3|ENSG00000199769.1	GATAD1	PGM5P2	
							PENK	FBXW4	FAM109B													ARMC6		GIGYF2	RFX1			RN7SKP62	RNA5SP284	RNA5SP441	RNY4P23	snoU13|ENSG00000238739.1	RNA5SP284	
							PLAG1	SLIT1	NFAM1													NACC1		TRAF3IP1	RFX2			GPR150	SNORA70|ENSG00000252878.1	GJD3	RNA5SP507	DPY19L2P4	SNORA70|ENSG00000252878.1	
							PMP2	SNCG	TMPRSS6													PGLYRP2		ABCA12	RPS15			LUCAT1	RN7SL787P	RARA	RN7SL581P	SNORA67|ENSG00000207094.1	RN7SL787P	
							POLR2K	SUPV3L1	APOBEC3H													CCDC124		CNPPD1	SAFB			SNORA70|ENSG00000206958.1	RNA5SP283	RNY4P8	MIR676	snoU13|ENSG00000238587.1	RNA5SP283	
							PKIA	TACR2	WBP2NL													NXNL1		STK36	CCL25			RNA5SP187	RN7SL544P	SNORD124	U3|ENSG00000212434.1	LINC00972	RN7SL544P	
							PEX2	TAF5	POLR3H													CIB3		GMPPA	SGTA			RN7SL629P	SNORA70|ENSG00000252133.1	IKZF3	LINC00269	SEMA3A	SNORA70|ENSG00000252133.1	
							RAB2A	TLL2	APOBEC3A													CALR3		SMARCAL1	SH3GL1			RN7SKP34	FAM27E1	MIR4728	RN7SL799P	RNA5SP235	FAM27E1	
							RAD21	VCL	SERHL2													LRRC25		ANO7	SMARCA4			MIR3607	RN7SL722P	PNMT	SPIN3	MIR1255B1	RN7SL722P	
							RPL7	VDAC2	ATP5L2													OR1I1		PRLH	SNAPC2			COX7C	SNORA70|ENSG00000252617.1	TCAP	SNORD112|ENSG00000252961.1	RN7SL35P	SNORA70|ENSG00000252617.1	
							RPL30	WNT8B	TEX33													NR2C2AP		THAP4	STK11			NBPF22P	FAM27E2	NEUROD2	APEX2	RN7SL869P	FAM27E2	
							SDC2	NDST2	MIR658													CCDC105		ANKMY1	STXBP2			RN7SKP295	RN7SL565P	ARL5C	SNORA11|ENSG00000221750.1	RNA5SP234	RN7SL565P	
							SDCBP	LIPF	MIR659													CYP4F22		SCLY	TBXA2R			SCARNA18|ENSG00000238835.1	RN7SL343P	LINC00672	SNORA11|ENSG00000221716.1	RSBN1L	RN7SL343P	
							ST3GAL1	GBF1	MIR1281													OR10H4		ASB1	TCF3			RN7SL378P	FAM95B1	SNORA21|ENSG00000199293.1	GNL3L	snoU13|ENSG00000238453.1	FAM95B1	
							SLA	LDB1	MIR4534													ANKLE1		CAB39	PRDX2			SSBP2	SNORA70|ENSG00000252724.1	SNORA21|ENSG00000252699.1	U3|ENSG00000252175.1	RN7SL212P	SNORA70|ENSG00000252724.1	
							SNTB1	SGPL1	MIR378I													LINC00905		PRKAG3	THOP1			SNORA31|ENSG00000251828.1	RN7SL763P	RPL23	RNA5SP505	snoU13|ENSG00000238935.1	RN7SL763P	
							SPAG1	BTRC														SSBP4		UGT1A10	ICAM5			snoU13|ENSG00000239159.1	FAM74A6	RNA5SP440	MIRLET7F2	TMEM120A	FAM74A6	
							SQLE	CH25H														DAND5		UGT1A7	TLE2			MTX3	FAM74A2	CISD3	MIR98	SNORA14A	FAM74A2	
							STK3	PKD2L1														FAM129C		UGT1A6	TYK2			HOMER1	RN7SL422P	MIR4726	SPANXN5	CCL24	RN7SL422P	
							TAF2	BTAF1														OR10H5		UGT1A5	VAV1			SNORA18|ENSG00000206592.1	FAM74A1	RN7SL102P	RNA5SP504	RN7SL642P	FAM74A1	
							TCEB1	PAPSS2														NWD1		UGT1A9	ZNF20			RNY3P1	RN7SL462P	RN7SL458P	XAGE2	NSUN5P1	RN7SL462P	
							TERF1	INA														SLC25A42		UGT1A4	ZNF69			BHMT2	FAM74A5	SOCS7	SNORA11D	STAG3L1	FAM74A5	
							TG	PDLIM1														PALM3		UGT1A8	ZNF121			OTP	RN7SL640P	HMGB1P24	SNORA11E	GATSL2	RN7SL640P	
							KLF10	NEURL														SLC27A1		UGT1A1	ZNF136			WDR41	FAM201A	MIR2909	CENPVP1	GATSL1	FAM201A	
							TPD52	DDX21														CLEC17A		FEV	MADCAM1			SNORA47	SNX18P3	RNA5SP439	DGKK	STAG3L2	SNX18P3	
							TRHR	LGI1														OR7A10		PID1	SF3A2			ZBED3	IGFBPL1	CCL4L2	MIR502	RNA5SP233	IGFBPL1	
							TRPS1	NOLC1														HAPLN4		ATG16L1	CLPP			RNU6ATAC36P	snoU13|ENSG00000238313.1	RN7SL301P	MIR660	MIR590	snoU13|ENSG00000238313.1	
							TTPA	DLG5														MIR181C		ANKZF1	RANBP3			S100Z	U8|ENSG00000200026.1	CCL4	MIR500B	LINC00035	U8|ENSG00000200026.1	
							COL14A1	CHST3														MIR23A		USP40	KHSRP			RN7SL208P	SHB	CCL18	MIR501	RN7SL265P	SHB	
							UQCRB	VPS26A														MIR27A		HJURP	PPAP2C			snoU13|ENSG00000238688.1	RN7SKP171	RN7SKP274	MIR362	GTF2IRD2P1	RN7SKP171	
							YWHAZ	MINPP1														MIR181D		HES6	EIF3G			RNA5SP186	RN7SL463P	SNORD7	MIR500A	NCF1B	RN7SL463P	
							FZD6	KIF20B														C19orf67		ASIC4	STX10			POLK	MIR4476	SLFN12L	MIR188	RN7SL625P	MIR4476	
							NSMAF	SEC24C														MIR639		DOCK10	S1PR4			SNORA40|ENSG00000212363.1	MIR4540	SLFN5	MIR532	RN7SL377P	MIR4540	
							RIPK2	SH3PXD2A														TMEM221		PECR	TNFSF14			RN7SL814P	LINC00961	Vault|ENSG00000252328.1	GAGE1	RNA5SP232	LINC00961	
							GGH	SPOCK2														MIR1470		C2orf83	TNFSF9			MIR4804	RGP1	snoU13|ENSG00000238858.1	MAGIX	RN7SKP75	RGP1	
							CPNE3	FRAT1														MIR3188		MFF	AP3D1			RN7SL153P	RN7SL22P	RNA5SP438	RN7SL262P	RN7SL371P	RN7SL22P	
							TRPA1	PPIF														MIR5695		ACKR3	RAB11B			MIR4803	RMRP	C17orf75	GPKOW	RNA5SP231	RMRP	
							CCNE2	ACTR1A																MARCH4	TRIP10			snoU13|ENSG00000238451.1	MIR4667	SH3GL1P1	WDR45	PMS2P4	MIR4667	
							EBAG9	NPM3																WDFY1	LONP1			GTF2H2B	RN7SL338P	RNA5SP437	RN7SL139P	RN7SL43P	RN7SL338P	
							MSC	MICU1																NYAP2	IL27RA			RN7SL9P	FLJ00273	UTP6	ERAS	GTF2IRD1P1	FLJ00273	
							KCNB2	RPP30																USP37	RAB3D			snoU13|ENSG00000238740.1	FAM205CP	RNU6ATAC7P	GLOD5	snoU13|ENSG00000238841.1	FAM205CP	
							CYP7B1	SORBS1																CTDSP1	APBA3			GUSBP3	FAM205B	RN7SL45P	RBM3	snoU13|ENSG00000252265.1	FAM205B	
							MTFR1	NRG3																GAL3ST2	IER2			RN7SL616P	GALT	RN7SL79P	snoU13|ENSG00000239017.1	VKORC1L1	GALT	
							EMC2	MGEA5																TMBIM1	SAFB2			RN7SL476P	RN7SKP24	EVI2A	RNA5SP503	SNORA15|ENSG00000206785.1	RN7SKP24	
							TOX	ADIRF																RAB17	KEAP1			snoU13|ENSG00000238334.1	KIAA1161	RN7SL138P	snoU13|ENSG00000238473.1	SNORA22|ENSG00000206634.1	KIAA1161	
							MTSS1	POLR3A																RNF25	MED16			SNORA50|ENSG00000220986.1	RNA5SP282	TEFM	CXXC1P1	CCT6P1	RNA5SP282	
							KIAA0196	LDB3																COPS7B	CHAF1A			RN7SL103P	RN7SKP114	SUZ12P	CXorf24	INTS4L2	RN7SKP114	
							HHLA1	ECD																MRPL44	SH2D3A			7SK|ENSG00000249352.3	SNORD121A	RN7SL316P	SNORA11C	SNORA63|ENSG00000200130.1	SNORD121A	
							TRIB1	CPEB3																TRPM8	AP1M2			U8|ENSG00000212249.2	SNORD121B	LRRC37BP1	ZNF157	SNORA63|ENSG00000252102.1	SNORD121B	
							HRSP12	ZNF365																ATG9A	EBI3			snoU13|ENSG00000238400.1	RNU4ATAC11P	SMURF2P1	RN7SL785P	INTS4L1	RNU4ATAC11P	
							NDRG1	NT5C2																MLPH	ZNF443			SNORA76|ENSG00000252904.1	PTENP1	SNORD63|ENSG00000252112.1	snoU13|ENSG00000238729.1	SNORA15|ENSG00000207062.1	PTENP1	
							CPQ	PDCD11																FAM134A	PLIN3			RN7SL169P	RNU4ATAC15P	MIR423	INE1	SNORA22|ENSG00000207344.1	RNU4ATAC15P	
							NCOA2	ZSWIM8																GLB1L	FSTL3			HTR1A	TMEM215	MIR3184	SLC9A7	CCT6P3	TMEM215	
							ARFGEF1	WAPAL																SPAG16	APC2			CKS1B|ENSG00000268942.1	GVQW1	RNY4P13	SNORD77|ENSG00000212347.2	ZNF117	GVQW1	
							KHDRBS3	PPRC1																CHPF	CLEC4M			KIF2A	RNA5SP281	RNY4P13	RN7SL291P	ZNF273	RNA5SP281	
							POP1	RRP12																IQCA1	ABCA7			RN7SKP157	snoU13|ENSG00000239155.1	snoU13|ENSG00000239129.1	EFHC2	ZNF736	snoU13|ENSG00000239155.1	
							COPS5	TBC1D12																NHEJ1	HMG20B			FKSG52	LINC00032	SNORA70|ENSG00000252657.1	MAOA	ZNF727	LINC00032	
							WWP1	DNMBP																FAM124B	TUBB4A			MIR582	RNA5SP280	MIR4523	RN7SL144P	RN7SL855P	RNA5SP280	
							STMN2	FRAT2																TM4SF20	TIMM44			GAPT	RN7SL100P	TIAF1	RN7SL406P	ZNF733P	RN7SL100P	
							ZHX1	SIRT1																C2orf54	CARM1			snoU13|ENSG00000238899.1	SNORA31|ENSG00000252580.1	NEK8	RN7SL15P	RN7SL816P	SNORA31|ENSG00000252580.1	
							ZHX2	KAT6B																TUBA4B	SEMA6B			snoU13|ENSG00000238717.1	RN7SKP120	SNORD4B	RNA5SP502	snoU13|ENSG00000238673.1	RN7SKP120	
							EFR3A	TSPAN15																ARMC9	RNASEH2A			RNU6ATAC2P	RMRPP5	SNORD42A	CXorf38	PHKG1	RMRPP5	
							RRS1	IFIT5																EFHD1	KLF1			RNA5SP185	DMRTA1	SNORD4A	snoU13|ENSG00000238920.1	SNORA15|ENSG00000207168.1	DMRTA1	
							SULF1	DPCD																SPHKAP	ZNF266			RNA5SP184	RN7SL151P	SNORD42B	MIR1587	SNORA22|ENSG00000206603.1	RN7SL151P	
							ZFPM2	SEC31B																WNT10A	PNPLA6			snoU13|ENSG00000238326.1	SNORD39|ENSG00000264379.1	RPL23A	RN7SL732P	RN7SL64P	SNORD39|ENSG00000264379.1	
							HEY1	NUDT13																SLC19A3	UQCR11			RNA5SP183	MIR31HG	SGK494	SNORA31|ENSG00000252050.1	ZNF713	MIR31HG	
							TRAM1	HERC4																ILKAP	CDC37			MIR5687	IFNA6	VTN	TM4SF2	MRPS17	IFNA6	
							LRRC6	LRIT1																ITM2C	SBNO2			MIR449C	KLHL9	SEBOX	CXorf30	SNORA73|ENSG00000252054.1	KLHL9	
							LY96	TCTN3																RHBDD1	MAST1			MIR449B	PTPLAD2	MIR4723	snoU13|ENSG00000238969.1	VSTM2A	PTPLAD2	
							SGK3	KIAA1279																ING5	KDM4B			MIR449A	SNORA30|ENSG00000202189.1	TMEM199	MIR548F5	snoU13|ENSG00000238354.1	SNORA30|ENSG00000202189.1	
							RAD54B	C10orf12																PLCD4	ZFR2			GPX8	MIR491	Vault|ENSG00000252283.1	MIR3915	RN7SKP218	MIR491	
							DCAF13	ANKRD2																TMEM169	ARHGEF18			GZMK	MIR4474	SNORA70|ENSG00000202389.1	RNA5SP501	snoU13|ENSG00000238506.1	MIR4474	
							RNF19A	CNNM1																DNER	PIP5K1C			MIR4459	MIR4473	SCARNA20|ENSG00000251818.1	NR0B1	SNORA31|ENSG00000253028.1	MIR4473	
							KIAA1429	MYOF																B3GNT7	HMHA1			RN7SL801P	ACER2	RN7SL576P	MIR4666B	RN7SL292P	ACER2	
							RGS22	ANKRD1																SP140L	SHC2			MIR581	snoU13|ENSG00000238348.1	LGALS9	RNA5SP500	SNORA4|ENSG00000201133.1	snoU13|ENSG00000238348.1	
							PABPC1	GHITM																STK11IP	RPL36			PELO	RN7SL158P	KSR1	SNORD74|ENSG00000201666.1	C7orf72	RN7SL158P	
							KCNV1	PALD1																MOGAT1	KANK2			ITGA1	SCARNA8	TBC1D3P5	IL1RAPL1	VWC2	SCARNA8	
							STAU2	R3HCC1L																AGAP1	TIMM13			RNA5SP182	RN7SKP258	MTND1P15	DCAF8L2	LINC00525	RN7SKP258	
							MTBP	POLL																TWIST2	TSPAN16			snoU13|ENSG00000238702.1	MIR3152	UBBP4	VENTXP1	EPS15P1	MIR3152	
							BHLHE22	CTNNA3																DIS3L2	DAZAP1			HCN1	RN7SL720P	RN7SL426P	RN7SL91P	SEPT7P2	RN7SL720P	
							MRPS28	BLNK																NEU4	OR7E24			RN7SL383P	RN7SL98P	TMEM11	SCARNA23	SNORA5B	RN7SL98P	
							MRPL13	NRBF2																AP1S3	FGF22			FGF10	RN7SL157P	KRT16P3	SNORA68|ENSG00000201407.1	SNORA5C	RN7SL157P	
							ATAD2	KCNIP2																SPATA3	TJP3			CCL28	LINC00583	NOS2P3	EIF2S3	SNORA5A	LINC00583	
							LRP12	MRPS16																TMEM198	NMRK2			ANXA2R	LURAP1L	USP32P3	snoU13|ENSG00000238327.1	SNHG15	LURAP1L	
							RRM2B	CALHM2																ZFAND2B	HOOK2			SNORD72	RN7SL849P	UPF3AP2	PTCHD1	NUDCD3	RN7SL849P	
							ASAP1	CUTC																FBXO36	SLC39A3			RPL37	RN7SL5P	RN7SL17P	RN7SL436P	RNA5SP230	RN7SL5P	
							MTERFD1	PLCE1																MTERFD2	TNPO2			SNORA57|ENSG00000212567.1	SNORD27|ENSG00000251699.1	U6|ENSG00000266839.2	RN7SKP183	MIR4649	SNORD27|ENSG00000251699.1	
							PI15	DUSP13																UBE2F	CD209			SNORA63|ENSG00000199552.1	RN7SL123P	CCDC144CP	MIR23C	LINC00957	RN7SL123P	
							FAM135B	SUFU																OTOS	COL5A3			LINC00604	snoU13|ENSG00000252110.1	SNORA31|ENSG00000252349.1	RN7SL48P	RASA4CP	snoU13|ENSG00000252110.1	
							ZC2HC1A	PANK1																MYEOV2	RDH8			LINC00603	RN7SL25P	SNORA59B	MIR4768	POLR2J4	RN7SL25P	
							PHF20L1	CCSER2																OR6B3	MRPL4			WDR70	C9orf38	MIR1180	snoU13|ENSG00000238764.1	MIR3943	C9orf38	
							LACTB2	EXOC6																CCDC140	ANGPTL4			RN7SL37P	MLANA	SNORD3C	SNORA16|ENSG00000201467.1	HECW1	MLANA	
							RMDN1	FAM35A																SLC23A3	MARCH2			RNA5SP181	snoU13|ENSG00000238654.1	SNORD3A	SYAP1	PSMA2	snoU13|ENSG00000238654.1	
							ZNF706	DDIT4																GPBAR1	CD320			LMBRD2	INSL4	GRAPL	MIR548AM	INHBA	INSL4	
							KCNK9	CCNJ																SLC16A14	ECSIT			U3|ENSG00000201368.1	AK3	SNORD3D	RN7SL658P	MPLKIP	AK3	
