cytoband	2q37.1	2q22.1	19p13.3	11q25	13q14.2	4q35.2	10q23.31	3p14.2	20p12.1	6q26	11q23.3	5q12.1	15q21.1	16q23.1	17q25.3	1p36.23	14q32.31	22q13.32	7q34	18q21.2	4q22.1	Xq21.33	13q12.11	1p13.2	8p23.1	16q11.2	Xp11.3	11p15.1	17p12	19q13.33	4q21.3	6p24.2	4p16.3	8p23.3	21q11.2	5q35.2	3p22.1	
	UGT1A4				KIAA1704						IL18		SLC27A2			MEGF6	CALM1		AKR1B1					AGL		N4BP1		CTSD		BCAT2		CD83	UVSSA					
	UGT1A8				THSD1						STT3A		GPR176			LINC00982	SERPINA6		ARF5					AMPD1		NUP93		DRD4		C5AR1		CDYL	ZFYVE28					
	UGT1A1				CYSLTR2						KCNJ1		CHP1			TTC34	FOXN3		OPN1SW					AMPD2		HERPUD1		DUSP8		CA11		EEF1E1	AFAP1					
	ATG16L1				SPRYD7						VWA5A		OIP5			C1orf222	CHGA		BPGM					AMY1A		IRX5		EIF4G2		CALM3		FAM65B	TNIP2					
	USP40				COG6						MCAM		BAHD1			TMEM240	CKB		BRAF					AMY1B		DNAJA2		FANCF		CD33		KIAA0319	HAUS3					
	HJURP				SMIM2						KMT2A		CEP152			RN7SL657P	CRIP1		CALD1					AMY1C		KATNB1		GAS2		SIGLEC6		NUP153	MFSD7					
	HES6				NAA16						NCAM1		MAPKBP1			TAS1R3	CRIP2		CASP2					AMY2A		ZNF267		GTF2H1		CD37		RANBP9	TMEM175					
	ACKR3				RNASEH2B						NFRKB		RTF1			RNF223	DIO3		CHRM2					AMY2B		NUDT21		HBB		CGB		SLC17A4	ABLIM2					
	GAL3ST2				DHRS12						NNMT		MGA			FAM41C	DYNC1H1		CLCN1					RHOC		CNOT1		HBD		AP2S1		SLC17A2	TMEM128					
	RAB17				KIAA0226L						NPAT		DMXL2			FAM87B	EIF5		CPA1					ATP1A1		ZNF423		HBE1		CRX		ECI2	ZNF518B					
	COPS7B				CDADC1						NRGN		VPS39			OR4F5	EML1		CPA2					BCL9		RPGRIP1L		HBG2		DMPK		TRIM38	TMEM129					
	TRPM8				CAB39L						PAFAH1B2		AP4E1			FAM138A	BRF1		DPP6					BRDT		ARL2BP		HPX		DMWD		CAP2	MRFAP1					
	MLPH				CCDC70						POU2AF1		EID1			DDX11L1	HSP90AA1		EN2					CAPZA1		ORC6		HRAS		EMP3		SCGN	TADA2B					
	IQCA1				COG3						PPP2R1B		SERF2			ALPL	IFI27		EPHA1					CASQ2		TOX3		IGF2		ERCC1		FARS2	HTRA3					
	C2orf54				SETDB2						PTS		TMEM87A			RERE	ITPK1		EPHB6					CD2		CCDC113		ILK		ERCC2		SLC17A3	MRFAP1L1					
	ARMC9				EBPL						PVRL1		RPAP1			C1QA	JAG2		EZH2					CD53		C16orf80		INS		ETFB		RPP40	EVC2					
	EFHD1				KBTBD6						RDX		BLOC1S6			C1QB	KLC1		FLNC					CD58		BRD7		IRF7		FCAR		SIRT5	OTOP1					
	ILKAP				EPSTI1						SCN2B		RPUSD2			C1QC	MARK3		GBX1					CHI3L2		PLLP		KCNC1		FCGRT		FAM50B	JAKMIP1					
	ITM2C				ARL11						SCN4B		TUBGCP4			CA6	ATXN3		GRM8					CNN3		CES1P1		KCNJ11		FLT3LG		MYLIP	FAM53A					
	ING5				WDFY2						SDHD		SCG3			CAPZB	SERPINA5		MNX1					COL11A1		LPCAT2		KCNQ1		FOSB		SLC35B3	TRMT44					
	B3GNT7				FAM216B						ST3GAL4		TMOD3			CASP9	SERPINA1		IMPDH1					CSF1		HEATR3		LDHA		FPR2		GMNN	ZBTB49					
	SP140L				LACC1						SLN		TMOD2			RUNX3	SERPINA4		INSIG1					DBT		DOK4		LDHC		FPR3		TBC1D7	CCDC96					
	AGAP1				HNRNPA1L2						SORL1		EHD4			TNFRSF8	PPP2R5C		IRF5					DPYD		COQ9		LMO1		FTL		NRN1	CRIPAK					
	TWIST2				DGKH						SRPR		DUOX2			CDA	LGMN		KCNH2					S1PR1		CIAPIN1		LSP1|ENSG00000130592.9		FUT1		FAM8A1	DOK7					
	DIS3L2				CCDC122						ST14		MYEF2			CDK11B	PSMC1		KEL					CELSR2		ZNF319		MUC2		FUT2		DCDC2	RNF212					
	NEU4				FAM194B						TAGLN		NDUFAF1			CDC42	MOK		LEP					EXTL2		NOD2		MUC6		GIPR		TMEM14C	NAT8L					
	SPATA3				SPERT						TECTA		NUSAP1			CD52	TNFAIP2		MEST					F3		PAPD5		MYOD1		GPR4		TDP2	POLN					
	FBXO36				FAM124A						UPK2		SPTBN5			CLCN6	TRAF3		MKLN1					FCGR1A		AKTIP		NAP1L4		GPR32		GFOD1	C4orf48					
	MTERFD2				LRRC63						ZBTB16		CTDSPL2			CLCNKA	VRK1		NDUFA5					FMO5		GINS3		NELL1		GRIN2D		ELOVL2	DEFB131					
	UBE2F				SLC25A30						ZNF202		DUOX1			CLCNKB	WARS		NDUFB2					GFI1		NDRG4		NUCB2		ARHGAP35		CDKAL1	MIR572					
	OTOS				SIAH3						CUL5		DLL4			CNR2	XRCC3		NOS3					GJA5		IRX3		NUP98		GYS1		PAK1IP1	USP17L24					
	MYEOV2				KCNRG						BARX2		INO80			CORT	GPR68		CNOT4					GJA8		USB1		SLC22A18		HAS1		LRRC16A	USP17L25					
	OR6B3				NEK5						USP2		ZNF280D			DDOST	TCL1A		NRF1					GNAT2		SHCBP1		PDE3B		FOXA3		EXOC2	USP17L26					
	SLC16A14				KCTD4						HTR3B		TRPM7			DFFB	DLK1		PAX4					GSTM1		SETD6		PIK3C2A		HRC		ACOT13	USP17L5					
	LINC00471				SERP2						ZW10		PPP1R14D			DVL1	MTA1		PIP					GSTM2		FAM192A		POLR2L		PRMT1		WRNIP1	USP17L27					
	C2orf57				DLEU2						UBE4A		HAUS2			E2F2	RPS6KA5		PODXL					GSTM3		CHD9		PSMA1		IL11		DUSP22	USP17L28					
	TIGD1				ALG11						EI24		RMDN3			ECE1	TRIP11		PRSS1					GSTM4		NETO2		PSMD13		IRF3		LYRM4	USP17L29					
	C2orf72				SERPINE3						FEZ1		DNAJC17			EPHA2	BAG5		TAS2R38					GSTM5		NLRC5		PTH		KCNA7		MRS2	USP17L30					
	DUSP28				MIR621						ARHGAP32		MNS1			ENO1	C14orf2		PTN					HMGCS2		CCDC135		RNH1		KCNC3		SLC22A23	PSAPL1					
	MROH2A				MIR759						RBM7		MYO5C			EPHA8	CDC42BPB		PTPRN2					HSD3B1		CAPNS2		MRPL23		KCNJ14		BLOC1S5	USP17L10					
	ESPNL				MIR320D1						MPZL2		FAM214A			EPHB2	TCL1B		PTPRZ1					HSD3B2		MT4		RPL27A		KIR2DL1		MCUR1	USP17L11					
	AQP12A				MIR3168						HYOU1		PAK6			EXTL1	TECPR2		RARRES2					IGSF3		GPT2		RPS13		KIR2DL3		KIF13A	USP17L12					
	KLHL30				MIR4305						ATP5L		DTWD1			EYA3	GOLGA5		RHEB					KCNA2		ABCC11		RRM1		KIR2DL4		TXNDC5	USP17L13					
	C2orf82				MIR3613						ADAMTS8		CASC5			FGR	FBLN5		SLC4A2					KCNA3		RSPRY1		SAA1		KIR2DS4		TMEM14B	USP17L17					
	OR6B2				MIR4703						TREH		STARD9			MTOR	SIVA1		SLC13A1					KCNA10		CCDC102A		SAA2		KIR3DL1		RIOK1	USP17L18					
	ASB18				MIR5007						CEP164		VPS18			FUCA1	CYP46A1		SMARCD3					KCNC4		ABCC12		SAA4		KIR3DL2		DTNBP1	USP17L19					
	PRR21				MIR5693						EXPH5		SQRDL			IFI6	PAPOLA		SMO					KCND3		C16orf78		SMPD1		KLK1		ADTRP	USP17L20					
	PRSS56										PHLDB1		ZNF106			GABRD	RCOR1		SPAM1					MOV10		SNX20		TRIM21		KLK2		FOXQ1	USP17L21					
	AQP12B										ARHGEF12		RFX7			GALE	PACS2		AKR1D1					NGF		CPNE2		ST5		LAIR1		HUS1B	USP17L22					
	D2HGDH										SIK3		SPATA5L1			GNB1	PPP1R13B		SSBP1					NHLH2		GPR114		STIM1		LAIR2		NRSN1	MIR548I2					
	MIR1471										VSIG2		CHAC1			SFN	DICER1		TBXAS1					NOTCH2		PRSS54		ABCC8		LHB		SNRNP48	MIR378D1					
	MIR4269										BACE1		ATP8B4			GPR3	KIF26A		UBE2H					NRAS		CES5A		TALDO1		LIG1		HDGFL1	MIR4800					
	MIR4786										TRIM29		WDR76			ZBTB48	TMEM251		VIPR2					OVGP1		GPR97		TEAD1		LIM2		HIST1H2AA						
	MIR5001										CADM1		TMEM62			HMGCL	TCL6		XRCC2					PDZK1		CNEP1R1		TH		MYBPC2		KDM1B						
											POU2F3		SEMA6D			HSPG2	GPR132		ZYX					PRKAB2		SLC6A10P		TSPAN4		NKG7		RBM24						
											REXO2		SPG11			HTR1D	SERPINA10		ARHGEF5					PSMA5		C16orf87		TNNI2		CNOT3		RNF182						
											OR8B8		ELL3			HTR6	EVL		ZNF212					PTGFRN		C16orf97		TNNT3		NPAS1		SMIM13						
											TIMM8B		C15orf48			ID3	GSKIP		ZNF282					ABCD3		TP53TG3C		TSG101		NTF4		SYCP2L						
											OR8B2		SPPL2A			STMN1	CINP		CUL1					RAP1A		TP53TG3B		PHLDA2		NUCB1		PXDC1						
											DCPS		ZFYVE19			MFAP2	ASB2		TRIM24					RPL5				TUB		PEG3		FAM217A						
											ZBTB44		CGNL1			MTHFR	CPSF2		MGAM					SORT1				WEE1		POLD1		RNF144B						
											DDX25		FRMD5			NBL1	CDCA4		WASL					SARS				ZNF143		PPP5C		HIST1H2BA						
											CDON		DISP2			NPPA	NRDE2		DGKI					SLC16A1				ZNF195		PRKCG		CAGE1						
											SIDT2		C15orf57			NPPB	ATG2B		ATP6V1F					STXBP3				ZNF214		PRRG2		MYLK4						
											TRAPPC4		KNSTRN			PAFAH2	UBR7		ASIC3					SYCP1				ZNF215		KLK7		TUBB2B						
											SPA17		BMF			PAX7	SMEK1		PDIA4					TBX15				RASSF7		KLK6		KAAG1						
											FXYD6		SHF			PEX10	BTBD7		UBE3C					TGFBR3				CSRP3		KLK10		NHLRC1						
											SIAE		DUOXA1			PEX14	TDP1		FAM131B					TSHB				BBOX1		PTGIR		PSMG4						
											C11orf71		CHST14			PGD	ZNF839		FAM115A					VCAM1				PPFIBP2		PTPRH		C6orf201						
											ROBO4		CASC4			PIK3CD	KCNK13		DNAJB6					CSDE1				IFITM1		RPL18		PPP1R3G						
											SLC35F2		TGM7			PLA2G2A	DDX24		ABCF2					EVI5				OR6A2		RPL28		MIR548A1						
											RAB39A		CATSPER2			PLOD1	UNC79		FAM3C					CDC7				DCHS1		RPS5		TMEM170B						
											BTG4		LEO1			EXOSC10	BEGAIN		FASTK					HIST2H2AC				EIF3F		RPS9		MIR4645						
											NXPE4		PLA2G4E			PPP1R8	PPP4R4		ABCB8					HIST2H2BE				BRSK2		RPS11		MIR5689						
											TTC12		TRIM69			PRKCZ	MOAP1		PAXIP1					HIST2H4A				MICAL2		RRAS		MIR5683						
											C11orf57		C15orf43			PTAFR	INF2		KLHDC10					BCAR3				CTR9		RTN2								
											ELMOD1		C15orf65			RAP1GAP	BCL11B		NUP205					ITGA10				TRIM66		CLEC11A								
											FOXRED1		TMCO5A			RHCE	OTUB2		AHCYL2					CDC14A				TSPAN32		SEPW1								
											SCN3B		ZSCAN29			RHD	ZFYVE21		TNPO3					RTCA				TSSC4		SLC1A5								
											VPS11		TTBK2			RPA2	WDR25		HYAL4					PEX11B				USH1C		SLC8A2								
											TEX12		CDAN1			RPL11	LINC00341		CLEC5A					SLC16A4				PRMT3		SNRNP70								
											CRTAM		STRC			RPL22	CLMN		MKRN1					CD101				MRVI1		SNRPD2								
											IFT46		DYX1C1			RPS6KA1	CATSPERB		POT1					CHD1L				TRIM22		SPIB								
											PRDM10		SPRED1			RSC1A1	RIN3		CNTNAP2					PDE4DIP				IFITM3		AURKC								
											DSCAML1		ADAL			SCNN1D	C14orf159		GIMAP2					LPPR4				DEAF1		SULT2B1								
											GRAMD1B		EXD1			SDHB	TMEM121		OR2F1					SV2A				IPO7		SULT2A1								
											ARHGAP20		FSIP1			SKI	AMN		SLC13A4					RBM8A				HTATIP2		TNNI3								
											USP28		RHOV			SLC2A5	IFI27L2		TPK1					TSPAN2				IFITM2		TNNT1								
											CARD18		FAM227B			SLC9A1	SETD3		SND1					BCAS2				TRIM3		TULP2								
											AASDHPPT		UBR1			SRM	HHIPL1		DENND2A					WARS2				PKP3		NR1H2								
											PKNOX2		PATL2			TCEA3	C14orf142		ZNF777					CEPT1				HPS5		VASP								
											TP53AIP1		PLA2G4F			TCEB3	FAM181A		TMEM176B					PIAS3				RRAS2		ZNF8								
											ABCG4		LRRC57			TNFRSF1B	BTBD6		HIPK2					VAV3				SWAP70		ZNF17								
											ROBO3		LYSMD2			TP73	EFCAB11		WDR91					LAMTOR5				DENND5A		ZNF28								
											C11orf1		WDR72			TNFRSF4	EXOC3L4		REPIN1					POLR3C				SIRT3		MZF1								
											RNF26		SLC24A5			ZBTB17	WDR20		HILPDA					TXNIP				OR52A1		ZNF132								
											FAM118B		PRTG			SLC30A2	AHNAK2		FSCN3					AP4B1				ARFIP2		ZNF135								
											NLRX1		PLA2G4D			LUZP1	TRMT61A		ATP6V0A4					PHTF1				SERGEF		ZNF154								
											MSANTD2		GLDN			PRDM2	TDRD9		TAS2R3					AHCYL1				OR10A3		ZNF175								
											CLMP		USP50			ARID1A	ANKRD9		TAS2R4					ADAM30				TIMM10B		SYMPK								
											PDZD3		TEX9			SNHG3	AK7		TAS2R16					CD160				DKK3		TEAD2								
											C11orf63		C15orf52			NR0B2	IFI27L1		CPA4					GLMN				RBMXL2		PPFIA3								
											CCDC15		TNFAIP8L3			MMP23B	PLD4		WNT16					DDX20				PGAP2		PLA2G4C								
											TMPRSS5		SHC4			KCNAB2	ADSSL1		PRKAG2					MTF2				TRPM5		NAPA								
											PUS3		CTXN2			FCN3	TTC8		ZC3HC1					NTNG1				UBQLN3		SIGLEC5								
											MFRP		C15orf53			ALDH4A1	TC2N		MRPS33					WDR47				RNF141		UBE2M								
											BCO2		C15orf54			EIF4G3	SLC25A29		NUB1					CLCC1				BET1L		CYTH2								
											TMPRSS13		DUOXA2			TNFRSF25	GSC		TAS2R5					KIAA1107				CEND1		NCR1								
											MSANTD4		EIF2AK4			TNFRSF14	SERPINA12		CHPF2					SLC35A3				CYB5R2		NAPSA								
											KIRREL3		UNC13C			TNFRSF18	PRIMA1		NCAPG2					NBPF14				CDHR5		KLK4								
											BUD13		CKMT1A			PER3	TTC7B		CHCHD3					RWDD3				TOLLIP		ZNF432								
											TMEM25		SERINC4			MAP3K6	SYNE3		WDR60					PTPN22				ZDHHC13		DHX34								
											RPUSD4		C15orf62			DHRS3	NUDT14		RBM28					PHGDH				USP47		SAE1								
											UBASH3B		C15orf56			VAMP3	LINC00521		TMEM140					CHIA				TRIM68		TRIM28								
											DIXDC1		PHGR1			THEMIS2	SERPINA11		GIMAP4					GPSM2				UEVLD		ZNF256								
											ZC3H12C		MIR147B			H6PD	C14orf177		GIMAP5					SLC25A24				LIN7C		LILRB2								
											ESAM		ANKRD63			ISG15	SLC25A47		TMEM176A					TMED5				LGR4		ZNF211								
											ALKBH8		JMJD7			PLCH2	LINC00523		TRPV6					BOLA1				PIDD		TRAPPC2P1								
											FDXACB1		PLA2G4B			CROCC	CEP170B		METTL2B					HAO2				KCNQ1DN		ZNF274								
											C11orf52		MIR1282			CEP104	C14orf80		TRPV5					SNX7				SOX6		ZNF460								
											TIRAP		MIR4716			KLHL21	CCDC85C		ZC3HAV1					GPR89B				MMP26		PPP1R13L								
											CARD16		MIR4713			SLC35E2	SERPINA9		AKR1B10					TRIM33				AKIP1		CD3EAP								
											C1QTNF5		MIR4712			ZBTB40	COX8C		ACTR3B					GPR88				C11orf16		RUVBL2								
											PANX3					MFN2	ASPG		KIAA1147					TRMT13				TMEM9B		LILRB1								
											APOA5					CELA3A	SERPINA13P		STRIP2					RSBN1				NRIP3		KDELR1								
											TMEM45B					WASF2	C14orf64		ESYT2					GDAP2				ASCL3		LILRB5								
											C11orf93					ANGPTL7	RTL1		ZNF398					FAM46C				CHRNA10		SLC27A5								
											PIH1D2					HNRNPR	TMEM179		KIAA1549					PALMD				SLC17A6		LILRB4								
											NXPE1					SRRM1	C14orf180		KMT2C					FNBP1L				PNPLA2		KLK11								
											NXPE2					CNKSR1	MIR127		EXOC4					ST7L				PHRF1		LILRA1								
											AMICA1					UBE4B	MIR136		GALNT11					PRPF38B				SCUBE2		LILRB3								
											KBTBD3					MAD2L2	MIR154		LRRC4					PRMT6				ZBED5		LILRA3								
											CWF19L2					PDPN	MIR203		LMBR1					SLC22A15				SIGIRR		LILRA2								
											KDELC2					NUDC	CCDC88C		NOM1					RNPC3				RIC8A		KPTN								
											LAYN					MASP2	MIR323A		CCDC136					LRIF1				MRPL17		KLK8								
											PATE1					SRSF10	MIR337		PARP12					CTTNBP2NL				ANO3		PNKP								
											C11orf65					UTS2	MIR345		CREB3L2					FAM212B				EPS8L2		U2AF2								
											ADAMTS15					RER1	MIR370		LRRC61					OLFML3				STK33		ATF5								
											C11orf45					RCAN3	MIR381		C7orf49					AMIGO1				CHID1		PPP6R1								
											HYLS1					PADI2	MIR431		GCC1					PTBP2				OR51G1		CARD8								
											TMEM218					LYPLA2	MIR323B		ZNF767					HIAT1				OR51B4		ZC3H4								
											OR8B12					PARK7	MIR409		CPED1					RBM15				OR51B2		FBXO46								
											OR10G8					CTRC	MIR412		TTC26					DCLRE1B				OR52N1		RPL13A								
											OR10G9					ACOT7	MIR410		JHDM1D					WDR77				RIC3		SYNGR4								
											OR10S1					DNAJC8	MIR493		TMUB1					EPS8L3				E2F8		LILRA4								
											OR6T1					CLSTN1	MIR432		SLC37A3					VTCN1				SLC25A22		ZIM2								
											OR4D5					SPEN	MIR494		KRBA1					SIKE1				ATHL1		NUP62								
											TMEM136					KDM1A	MIR495		FAM71F1					TRIM45				OR51G2		HSPBP1								
											HEPACAM					WDTC1	MIR496		SLC35B4					VANGL1				OR51E2		PPP1R15A								
											ANKK1					EMC1	MIR487A		TMEM209					GPR61				PTDSS2		EML2								
											RNF214					KIF1B	RD3L		ADCK2					REG4				SBF2		ZNF324								
											FOXR1					PLEKHM2	TEX22		PLXNA4					ZNF644				FAM160A2		KLK5								
											CCDC153					OTUD3	MIR539		ZC3HAV1L					POLR3GL				FAR1		PRKD2								
											OR8D1					KAZN	MIR544A		CADPS2					PROK1				BTBD10		ZNF473								
											OR8D2					CAMTA1	MIR487B		CPA5					PSRC1				PTPN5		CCDC9								
											OR8B4					DNAJC16	MIR411		CEP41					STRIP1				MICALCL		PRPF31								
											C11orf44					UBR4	MIR654		ZBED6CL					ZNF697				TRIM5		IRF2BP1								
											CCDC84					ATP13A2	MIR655		TSGA13					HENMT1				NAV2		FGF21								
											TMEM225					CELA3B	MIR656		AGAP3					OLFM3				SYT8		SIGLEC7								
											OR8D4					ICMT	MIR758		C7orf13					MAB21L3				CCDC34		BBC3								
											C11orf53					PADI4	MIR770		OR9A4					SLC44A3				PRKCDBP		DKKL1								
											BSX					TMEM50A	MIR300		OR9A2					ATXN7L2				SAAL1		SIGLEC9								
											OR6X1					STX12	MIR541		C7orf34					C1orf194				OSBPL5		SIGLEC8								
											OR6M1					CLIC4	MIR665		TMEM139					LRRC39				LRRC56		C5AR2								
											OR10G4					CHD5	MIR543		NOBOX					LIX1L				MRGPRE		CHMP2A								
											OR10G7					SZRD1	MIR889		OR2A14					DRAM2				ART5		DHDH								
											OR8B3					LDLRAP1	DIO3OS		OR6B1					PIFO				MRGPRX2		ZNF544								
											OR8A1					NOC2L	MIR1197		OR2F2					C1orf162				MRGPRX3		UBE2S								
											C11orf87					FBXO2	MIR1193		ZNF786					SYT6				MRGPRX4		SLC6A16								
											C11orf92					FBXO6	MIR4309		PRSS37					TMEM56				TRIM6		TFPT								
											C11orf88					HSPB7	MIR3173		KLF14					NBPF4				OR52E2		STRN4								
											PATE2					ARHGEF16	MIR151B		SSMEM1					HFE2				OR52J3		EPN1								
											PATE4					AHDC1	MIR4710		SVOPL					ANKRD35				OR51L1		GLTSCR2								
											SNX19					SMPDL3B	MIR2392		MTPN					SLC30A7				OR51A7		GLTSCR1								
											MIRLET7A2					SSU72			LRGUK					NBPF12				OR51S1		EHD2								
											MIR100					UBIAD1			ASB10					CHIAP2				OR51F2		KLK14								
											MIR125B1					PADI1			PRSS58					FNDC7				OR52R1		KLK12								
											MIR34B					WRAP73			RNF32					SASS6				OR52M1		SHANK1								
											MIR34C					SLC45A1			ASB15					PPIAL4A				OR52K2		NOSIP								
											BLID					HP1BP3			CLEC2L					HFM1				OR5P2		ZNF580								
											CARD17					CELA2B			C7orf55					UBL4B				OR5P3		HSD17B14								
											HEPN1					SDF4			IQUB					NBPF11				CYP2R1		GP6								
											CLDN25					MRTO4			TMEM213					SPAG17				DBX1		VRK3								
											PATE3					PADI3			GIMAP8					HIPK1				OR2D3		ZNF581								
											MIR4301					ERRFI1			CRYGN					EPHX4				OR2D2		PTOV1								
											CASP12					WNT4			ZNF425					AKNAD1				OR52W1		PPP1R12C								
											MIR4493					FBXO42			ZNF746					MAGI3				OR56A4		TRPM4								
											MIR4491					RNF186			ATP6V0E2					FAM19A3				OR56A1		ZNF586								
											MIR4492					MXRA8			RBM33					NBPF16				SYT9		QPCTL								
																HES2			GALNTL5					FAM102B				OR52B4		FAM83E								
																FBLIM1			RNF133					SYPL2				C11orf40		EPS8L1								
																MED18			GIMAP7					CYB561D1				OR52I2		RASIP1								
																PQLC2			ZNF467					ANKRD34A				OR51E1		TMEM160								
																CASZ1			ZNF800					BTBD8				UBQLNL		PIH1D1								
																CPSF3L			GIMAP1					HIST2H2AB				MUC15		C19orf73								
																C1orf159			C7orf33					PPM1J				PLEKHA7		PNMAL1								
																AURKAIP1			UBN2					CCDC18				SPTY2D1		TMEM143								
																MRPL20			TAS2R39					MYBPHL				TMEM86A		ZNF444								
																TMEM51			TAS2R40					C1orf146				OR10A5		ZNF331								
																XKR8			TAS2R41					FAM69A				OR2AG1		KLK15								
																ARHGEF10L			CNPY1					SLC6A17				DNHD1		NLRP2								
																VPS13D			FAM115C					C1orf137				SCGB1C1		ZNF416								
																ATAD3A			ZNF775					NOTCH2NL				SLC5A12		ZNF446								
																TMEM57			ATG9B					FRRS1				LDHAL6A		ZNF701								
																PANK4			TAS2R60					NBPF9				C11orf42		ZNF83								
																CAMK2N1			BLACE					MIR197				NLRP6		ZNF415								
																ASAP3			CTAGE6					HIST2H2BF				OR56B4		SPHK2								
																PNRC2			AGBL3					HIST2H4B				ANO5		MEIS3								
																PIGV			OR6V1					PPIAL4G				OR52B2		SLC17A7								
																NBPF1			OR2A12					PPIAL4D				C11orf35		NAT14								
																NECAP2			OR2A1					NBPF6				OR51F1		VN1R1								
																DNAJC11			FAM71F2					PPIAL4B				MRGPRX1		RCN3								
																RCC2			STRA8					GPR89A				CSNK2A3		ZNF304								
																AJAP1			WDR86					PPIAL4C				OR51V1		TTYH1								
																MTFR1L			GSTK1					HIST2H3D				EFCAB4A		PNMAL2								
																CTNNBIP1			RNF148					FAM72B				IGSF22		PRR12								
																C1orf63			FEZF1					HIST2H2AA4				OR10A4		ZNF471								
																AGTRAP			FAM180A					FAM72D				OLFML1		USP29								
																PITHD1			OR2A25					GPR89C				NLRP10		PLEKHA4								
																NIPAL3			OR2A5					MIR760				NLRP14		SCAF1								
																SEPN1			PRRT4					NBPF20				ANO9		CACNG8								
																PLEKHG5			RAB19					MIR320B1				LUZP2		CACNG7								
																LRRC47			OR2A7					MIR378G				B4GALNT4		CACNG6								
																PTCHD2			OR2A42					MIR137HG				OR52L1		ZNF350								
																KIF17			MIR182									OR2AG2		TSKS								
																HES4			MIR183									OR52B6		ZNF667								
																GRHL3			MIR96									OTOG		ELSPBP1								
																IL22RA1			AKR1B15									OR10A2		LIN7B								
																MIIP			CTAGE15									OVCH2		HIF3A								
																CELA2A			OR2A2									PDDC1		ZNF649								
																GPATCH3			LMOD2									GALNT18		ZSCAN18								
																PRDM16			ARHGEF35									NCR3LG1		RPL23AP79								
																PLA2G2F			GIMAP6									MRGPRG		TSEN34								
																CEP85			WEE2									IFITM5		MBOAT7								
																NMNAT1			MIR490									FAM99A		FKRP								
																VWA1			ZNF862									OR56B1		ZSCAN5A								
																PINK1			ACTR3C									INSC		ZNF329								
																PRAMEF1			TMEM229A									FIBIN		TBC1D17								
																PRAMEF2			CTAGE4									OR52K1		ZNF419								
																NADK			CTAGE8									OR52I1		ISOC2								
																PHACTR4			SMKR1									OR51D1		MYH14								
																AUNIP			ZNF783									OR52A5		ZNF665								
																EFHD2			MIR548F4									OR51B6		ZNF552								
																MMEL1			MTRNR2L6									OR51M1		ZNF671								
																RSG1			TMEM178B									OR51Q1		ZNF613								
																MUL1			MIR4468									OR51I1		ZNF702P								
																NOL9			MIR5707									OR51I2		ZNF606								
																LIN28A												OR52D1		ZNF614								
																LINC00115												OR52H1		FUZ								
																MORN1												OR52N4		OPA3								
																FAM110D												OR52N5		RSPH6A								
																DHDDS												OR52N2		ZNF611								
																SPSB1												OR52E6		MED25								
																GLTPD1												OR52E8		CCDC8								
																ZNF436												OR52E4		ZNF541								
																TAS1R2												OR56A3		SYT3								
																TAS1R1												OR10A6		AKT1S1								
																OR4F16												OR51T1		ZNF528								
																ACTL8												OR51A4		BRSK1								
																CCNL2												OR51A2		ZNF347								
																SESN2												IFITM10		ZNF577								
																ESPN												MIR210		SUV420H2								
																ATAD3B												TMEM41B		C19orf48								
																TMEM222												MUC5B		ZBTB45								
																PLEKHN1												MIR302E		ZNF587								
																USP48												MIR3159		FIZ1								
																NBPF3												MIR4298		GALP								
																LZIC												MIR4299		SIGLEC10								
																TRIM63												MTRNR2L8		SIGLEC12								
																C1orf170												CCDC179		ZNF628								
																SYTL1												MIR4686		ZNF551								
																IGSF21												MIR4694		ZNF616								
																KIAA2013												MIR4687		ZNF766								
																THAP3														ZNF468								
																STPG1														ZNF160								
																UBXN11														CTU1								
																FBXO44														ZNF835								
																ATPIF1														ZNF765								
																FHAD1														NLRP12								
																FAM46B														MYADM								
																RBP7														ZNF845								
																ACAP3														CCDC114								
																UBE2J2														ACPT								
																C1orf172														CGB5								
																LRRC38														CGB7								
																AADACL3														LENG9								
																PUSL1														CGB8								
																B3GALT6														GNG8								
																IFFO2														BIRC8								
																TPRG1L														FAM71E1								
																FAM213B														RDH13								
																MYOM3														PTH2								
																KLHDC7A														ZIM3								
																VWA5B1														SIGLEC11								
																ARHGEF19														CGB1								
																ACTRT2														CGB2								
																MIB2														LMTK3								
																C1orf127														LENG8								
																SAMD11														KIR3DL3								
																PHF13														ZNF837								
																CCDC27														CLDND2								
																C1orf213														ZNF816								
																PDIK1L														ZNF543								
																SLC2A7														COX6B2								
																CALML6														OSCAR								
																IFNLR1														JOSD2								
																FAM43B														IZUMO2								
																PAQR7														CPT1C								
																FAM76A														ALDH16A1								
																TMEM201														NTN5								
																C1orf86														NLRP13								
																ATAD3C														NLRP8								
																AKR7L														NLRP5								
																TTLL10														ZNF787								
																TMCO4														ZFP28								
																ZNF683														VSIG10L								
																MDS2														LINC00085								
																NPHP4														ZNF480								
																SLC25A34														ZNF534								
																C1orf174														ZNF578								
																KLHL17														C19orf18								
																TMEM52														ZNF418								
																AADACL4														KLC3								
																PRAMEF5														TMEM190								
																HNRNPCL1														TMC4								
																PRAMEF9														TPM3P9								
																PRAMEF10														ZNF524								
																FAM131C														ZNF784								
																SPATA21														CCDC155								
																AGRN														DACT3								
																CATSPER4														SIX5								
																GPR153														IGFL2								
																FAM132A														NLRP4								
																HES5														ZNF542								
