cytoband	9p21.3	10q23.31	11p15.1	1p36.23	6q26	10q26.3	4q34.3	19q13.41	13q14.2	1p32.3	2q37.1	22q13.32	15q14	5q34	14q13.1	11p15.5	3q29	13q22.1	14q24.2	8p23.2	1p36.32	12q12	17q11.2	17p13.1	3p21.31	3q13.31	19q13.43	12p13.1	2q22.1	5p15.33	18q23	6q22.31	16p12.2	10p15.3	Xq21.1	1q42.11	1q44	10p13	8q24.3	16q23.1	11p11.2	1p22.1	14q31.3	12q15	6p25.3	
													CKMT1A																			TAAR1								C16orf74			ESRRB			
													SERINC4																			NCOA7								CTRB2			FOS			
													C15orf62																			HINT3								CLEC18B			GALC			
													C15orf56																			ZC2HC1B								SYCE1L			GSTZ1			
													PHGR1																			SAMD3								MIR1910			GTF2A1			
													MIR147B																			RNF217								C16orf95			BRF1			
													ANKRD63																			NKAIN2								MIR4719			HSP90AA1			
													JMJD7																			OLIG3								MIR5093			IFI27			
													PLA2G4B																			TXLNB											ITPK1			
													MIR1282																			FAM26D											JAG2			
													MIR4510																			ZUFSP											KLC1			
																																FAM162B											LTBP2			
																																TBC1D32											MARK3			
																																HS3ST5											ATXN3			
																																GPRC6A											MAP3K9			
																																RFX6											ALDH6A1			
																																SLC35F1											SERPINA5			
																																VGLL2											PGF			
																																TMEM244											SERPINA1			
																																MCM9											SERPINA4			
																																SHPRH											PPP2R5C			
																																DCBLD1											LGMN			
																																TAAR6											PSEN1			
																																SLC35D3											PSMC1			
																																RSPH4A											ABCD4			
																																ECT2L											MOK			
																																C6orf58											SEL1L			
																																CENPW											SRSF5			
																																SOGA3											SLC8A3			
																																CEP85L											TNFAIP2			
																																THEMIS											TRAF3			
																																FAM26F											TSHR			
																																RFPL4B											VRK1			
																																FAM229B											WARS			
																																CTAGE9											XRCC3			
																																MIR548A2											DPF3			
																																MIR588											GPR68			
																																TRAPPC3L											TCL1A			
																																MIR3144											NUMB			
																																MIR3668											ADAM21			
																																SMLR1											ADAM20			
																																MIR4465											DLK1			
																																MIR548AJ1											DCAF5			
																																MIR548H5											ALKBH1			
																																											EIF2B2			
																																											MTA1			
																																											PNMA1			
																																											RPS6KA5			
																																											TRIP11			
																																											SPTLC2			
																																											BAG5			
																																											C14orf2			
																																											CDC42BPB			
																																											TCL1B			
																																											RGS6			
																																											KIAA0247			
																																											AREL1			
																																											TECPR2			
																																											GOLGA5			
																																											MED6			
																																											FBLN5			
																																											BATF			
																																											SIVA1			
																																											NPC2			
																																											AHSA1			
																																											CYP46A1			
																																											PAPOLA			
																																											ACOT2			
																																											TMED10			
																																											PTPN21			
																																											VASH1			
																																											SNW1			
																																											PCNX			
																																											TTLL5			
																																											RCOR1			
																																											PACS2			
																																											ANGEL1			
																																											PPP1R13B			
																																											DICER1			
																																											TTC9			
																																											FLRT2			
																																											SIPA1L1			
																																											DCAF4			
																																											KIF26A			
																																											TMEM251			
																																											TCL6			
																																											MLH3			
																																											GPR132			
																																											POMT2			
																																											COQ6			
																																											FCF1			
																																											SERPINA10			
																																											COX16			
																																											EVL			
																																											GSKIP			
																																											CINP			
																																											ASB2			
																																											ZFYVE1			
																																											CPSF2			
																																											CDCA4			
																																											NRDE2			
																																											ATG2B			
																																											UBR7			
																																											EXD2			
																																											VRTN			
																																											SLC39A9			
																																											FLVCR2			
																																											GPATCH2L			
																																											SMEK1			
																																											BTBD7			
																																											TDP1			
																																											ZNF839			
																																											SPATA7			
																																											YLPM1			
																																											KCNK13			
																																											DDX24			
																																											ADCK1			
																																											TMEM63C			
																																											GALNT16			
																																											UNC79			
																																											BEGAIN			
																																											PPP4R4			
																																											ZNF410			
																																											NGB			
																																											RBM25			
																																											VIPAS39			
																																											SMOC1			
																																											MOAP1			
																																											IRF2BPL			
																																											INF2			
																																											BCL11B			
																																											OTUB2			
																																											ZFYVE21			
																																											WDR25			
																																											LINC00341			
																																											ZC2HC1C			
																																											CLMN			
																																											CATSPERB			
																																											ZC3H14			
																																											RIN3			
																																											C14orf159			
																																											CCDC176			
																																											TMEM121			
																																											AMN			
																																											SLIRP			
																																											DNAL1			
																																											RPS6KL1			
																																											IFI27L2			
																																											SETD3			
																																											HHIPL1			
																																											C14orf142			
																																											STON2			
																																											KIAA1737			
																																											PAPLN			
																																											FAM181A			
																																											BTBD6			
																																											EFCAB11			
																																											ELMSAN1			
																																											NEK9			
																																											EXOC3L4			
																																											WDR20			
																																											IFT43			
																																											AHNAK2			
																																											TRMT61A			
																																											TDRD9			
																																											ANKRD9			
																																											AK7			
																																											IFI27L1			
																																											PLD4			
																																											ADSSL1			
																																											NOXRED1			
																																											JDP2			
																																											TTC8			
																																											TC2N			
																																											SLC25A29			
																																											GSC			
																																											SERPINA12			
																																											PRIMA1			
																																											PTGR2			
																																											FAM161B			
																																											C14orf166B			
																																											ISM2			
																																											CEP128			
																																											TTC7B			
																																											SYNE3			
																																											EML5			
																																											NUDT14			
																																											LINC00521			
																																											SERPINA11			
																																											PROX2			
																																											ZDHHC22			
																																											C14orf178			
																																											C14orf177			
																																											SLC25A47			
																																											LINC00523			
																																											CEP170B			
																																											C14orf80			
																																											CCDC85C			
																																											SERPINA9			
																																											VSX2			
																																											COX8C			
																																											ASPG			
																																											SERPINA13P			
																																											C14orf64			
																																											RTL1			
																																											TMEM179			
																																											HEATR4			
																																											PLEKHD1			
																																											C14orf180			
																																											MIR127			
																																											MIR136			
																																											MIR154			
																																											MIR203			
																																											CCDC88C			
																																											MIR323A			
																																											MIR337			
																																											MIR345			
																																											MIR370			
																																											MIR381			
																																											MIR431			
																																											MIR323B			
																																											MIR409			
																																											MIR412			
																																											MIR410			
																																											MIR493			
																																											MIR432			
																																											MIR494			
																																											MIR495			
																																											MIR496			
																																											MIR487A			
																																											ACOT1			
																																											ACOT6			
																																											SYNDIG1L			
																																											RD3L			
																																											TEX22			
																																											MIR539			
																																											MIR544A			
																																											MIR487B			
																																											MIR411			
																																											MIR654			
																																											MIR655			
																																											MIR656			
																																											MIR758			
																																											MIR770			
																																											MIR300			
																																											MIR541			
																																											MIR665			
																																											MIR543			
																																											MIR889			
																																											DIO3OS			
																																											MIR1260A			
																																											MIR1197			
																																											MIR1193			
																																											MIR4309			
																																											MIR3173			
																																											MIR4505			
																																											MIR151B			
																																											MIR4710			
																																											MIR2392			
