cytoband	19p13.3	5q12.1	4q34.3	10q23.31	Xp21.1	22q13.32	2q22.1	16q23.1	1p36.11	6q26	3q13.31	3p14.2	11p15.5	8p21.2	12q23.1	15q15.1	1p36.21	18q23	7p22.3	17q11.2	9p23	11q25	20p12.1	16p13.3	19q13.43	8p23.2	13q14.2	11q14.1	17q21.31	4p15.31	9q34.2	14q13.1	17p11.2	7q31.1	2q37.3	4q22.1	12q24.33	17p13.3	9q21.2	7q11.22	16q21	7q36.1	15q23	13q11	16q22.3	2p25.3	4p16.3	10q21.1	18q21.2	19p12	22q12.1	
																RAD51						HYLS1							GJC1		DDX31		ZNF18		HES6		DIABLO		GAS1		HERC2P4	RNA5SP242				OTOF		RHOBTB1	CDH20			
																RYR3						TMEM218							PSME3		AIF1L		RNF112		ACKR3		PITPNM2		GCNT1		ADCY7	MIR593				ROCK2		C10orf10	CDH19			
																SCG5						OR8B12							NBR2		UCK1		GAS7		GAL3ST2		EP400		HNRNPK		AGRP	MIR592				TP53I3		ZWINT	ST8SIA5			
																SPINT1						OR10G8							RAMP2		NTNG2		COPS3		RAB17		DHX37		HSD17B3		AMFR	GPR37				GREB1		ZNF365	RAX			
																SRP14						OR10G9							VAT1		PPAPDC3		MYH13		COPS7B		FBRSL1		IARS		BBS2	AASS				LAPTM4A		DKK1	CXXC1			
																TJP1						OR10S1							LEPREL4		FIBCD1		PIGL		TRPM8		DDX55		NCBP1		CA7	RN7SKP277				RNF144A		CSTF2T	ST8SIA3			
																TP53BP1						OR6T1							HEXIM1		C9orf69		NCOR1		MLPH		C12orf43		NFIL3		CBFB	RNA5SP241				PDIA6		PTPN20B	IER3IP1			
																TYRO3						OR4D5							C1QL1		NACC2		ULK2		IQCA1		VPS33A		NINJ1		CBLN1	RNA5SP240				RAB10		A1CF	TCEB3B			
																EIF3J						SPATA19							RUNDC3A		C9orf116		CCDC144A		C2orf54		RSRC2		NTRK2		CDH1	AOC1				YWHAQ		NRBF2	MEX3C			
																SNAP23						HEPACAM							KCNH4		CAMSAP1		ARHGAP44		EFHD1		AACS		ROR2		CDH3	AKR1B1				MYT1L		FXYD4	TMX3			
																HERC2						OR8D1							FAM215A		C9orf62		HS3ST3A1		ILKAP		NOC4L		OMD		CDH5	ARF5				LPIN1		CSGALNACT2	DYM			
																TGM5						OR8D2							TUBG2		AK8		PEMT		ING5		B3GNT4		OGN		CDH8	OPN1SW				PUM2		FAM21B	ZCCHC2			
																PPIP5K1						OR8B4							NKIRAS2		C9orf96		FBXW10		AGAP1		OGFOD2		PCSK5		CDH16	BPGM				NTSR2		OGDHL	ZNF532			
																AQR						C11orf44							COA3		QSOX2		TRIM16		TWIST2		VPS37B		PGM5		CES1	BRAF				SH3YL1		CISD1	ELAC1			
																ARHGAP11A						TMEM225							PSMC3IP		FAM78A		RAI1		DIS3L2		TCTN2		PHF2		CETP	CALD1				TRIB2		ASAH2	KIAA1468			
																LCMT2						OR8D4							SOST		QRFP		AKAP10		NEU4		RNF34		PRKACG		CNGB1	CASP2				GRHL1		ARHGAP22	EPG5			
																RASGRP1						BSX							ARL17A		GLT6D1		EPN2		MTERFD2		CCDC92		PTCH1		CSNK2A2	CHRM2				ITSN2		PCDH15	CCDC102B			
																GPR176						OR6X1							SLC25A39		C9orf50		MPRIP		UBE2F		PUS1		RORB		CYLD	CLCN1				TRAPPC12		OR13A1	CCDC68			
																CHP1						OR6M1							HIGD1B		C9orf171		USP22		OTOS		CCDC62		SYK		NQO1	CPA1				DNAJC27		BICC1	KATNAL2			
																OIP5						OR10G4							KLHL11		TMEM8C		TNFRSF13B		MYEOV2		KDM2B		TLE1		DYNC1LI2	CPA2				NBAS		SYT15	MRO			
																BAHD1						OR10G7							ATXN7L3		LCN9		DHRS7B		OR6B3		UNC119B		TMOD1		E2F4	DPP6				SF3B14		RASSF4	HDHD2			
																FAN1						OR8B3							FKBP10		SOHLH1		B9D1		LINC00471		C12orf65		XPA		GNAO1	EN2				CPSF3		ARID5B	SERPINB12			
																MAPKBP1						OR8A1							WNK4		CARD9		TVP23B		C2orf57		TMEM132D		ZFAND5		GOT2	EPHA1				SNTG2		PHYHIPL	SERPINB11			
																GOLGA8A						PATE2							C17orf53		MIR3689A		MYO15A		TIGD1		SLC15A4		PIP5K1B		HAS3	EPHB6				ATAD2B		LINC00839	SEC11C			
																RTF1						PATE4							TMUB2		MIR3689B		TRPV2		DUSP28		SPPL3		CDC14B		HSD11B2	EZH2				SLC35F6		ADO	DSEL			
																MGA						SNX19							DHX58		MIR3689D1		RASD1		MROH2A		FAM101A		FBP2		HSF4	FLNC				ASXL2		ZFAND4	HAUS1			
																VPS39						MIRLET7A2							ACBD4		MIR3689F		ALKBH5		ESPNL		ZNF664		FAM189A2		KIFC3	GBX1				ADI1		C10orf71	ALPK2			
																FAM189A1						MIR100							DCAKD		MIR3689C		TTC19		AQP12A		TMEM120B		TJP2		LCAT	GRM8				ALLC		ZNF488	LOXHD1			
																SERF2						MIR125B1							PLEKHH3		MIR3689D2		MED9		KLHL30		WDR66		GDA		MMP2	MNX1				DPYSL5		AGAP4	STARD6			
																TMEM87A						BLID							DBF4B		MIR3689E		SLC47A1		C2orf82		GLT1D1		GNA14		MMP15	IMPDH1				KIDINS220		FRMPD2	C18orf25			
																RPAP1						HEPN1							COASY		MIR548AW		NT5M		OR6B2		PGAM5		SEMA4D		MT1A	INSIG1				WDR35		FAM170B	CCBE1			
																GREM1						PATE3							AARSD1				ZNF286A		ASB18		RILPL2		ANP32B		MT1B	IRF5				RDH14		ANTXRL	C18orf54			
																RPUSD2						MIR4697							VPS25				ZNF624		PRR21		DNAH10		SPTLC1		MT1F	KCNH2				C2orf43		VSTM4	TCEB3C			
																TUBGCP4						MIR4493							TMEM101				ELAC2		PRSS56		LRRC43		GADD45G		MT1G	KEL				HS1BP3		C10orf107	ZBTB7C			
																EHD4													GHDC				TEKT3		AQP12B		GPR133		SPIN1		MT1H	LEP				COLEC11		TMEM26	SKA1			
																DUOX2													G6PC3				GID4		D2HGDH		MORN3		SLC35D2		MT1JP	MEST				CENPO		RTKN2	CCDC11			
																NDUFAF1													ASB16				FAM106A		MIR1471		DDX51		ZNF510		MT1X	MKLN1				SMC6		SLC16A9	LINC00305			
																NUSAP1													HSPB9				LRRC48		MIR4269		HCAR2		HABP4		MT3	NDUFA5				NOL10		FAM13C	DYNAP			
																EMC4													PLCD3				ATPAF2		MIR4786		EP400NL		SMC5		NFATC3	NDUFB2				C2orf44		MARCH8	BOD1L2			
																SPTBN5													TMEM106A				SPECC1		MIR5001		RILPL1		FAM120A		PHKB	NOS3				FAM49A		C10orf25	SIGLEC15			
																CTDSPL2													NT5C3B				MYOCD				IL31		VPS13A		POLR2C	CNOT4				EPT1		ZNF485	HMSD			
																KLF13													SPATA32				ZSWIM7				SETD8		AGTPBP1		PSKH1	NRF1				RSAD2		RASGEF1A	CPLX4			
																DUOX1													HEXIM2				SMCR7				ZNF605		BICD2		PSMB10	PAX4				DRC1		REEP3	MIR122			
																DLL4													LSM12				SLC5A10				MIR3908		TDRD7		RBL2	PIP				NT5C1B		JMJD1C	SKOR2			
																INO80													CCDC43				TOM1L2				MIR4419B		CDK20		RRAD	PODXL				KLHL29		IPMK	TCEB3CL			
																PPP1R14D													CD300LG				SLC47A2				MIR4700		TMEM2		SALL1	PRSS1				CMPK2		FAM21C	MIR1539			
																MTMR10													KIF18B				TRIM16L				MIR5188		ZNF658		CCL17	TAS2R38				CIB4		SGMS1	MIR4319			
																ZNF770													RUNDC1				TVP23C						SPATA31A7		CCL22	PTN				OSR1		C10orf40	MIR4318			
																HAUS2													NAGS				CENPV						OSTF1		CX3CL1	PTPRN2				TTC32		FAM21A	TCEB3CL2			
																RMDN3													FAM134C				FLCN						PSAT1		SIAH1	PTPRZ1				C2orf50		BMS1P5	MIR4527			
																DNAJC17													SPPL2C				PLD6						UBQLN1		SLC6A2	RARRES2				PQLC3		AGAP6	MIR4529			
																NOP10													ARHGAP27				USP32P2						ABHD17B		SLC9A5	RHEB				GAREML		LRRC18	MIR5011			
																NDNL2													STH				CDRT15L2						GOLM1		SLC12A3	SLC4A2				FAM84A		AGAP9				
																EMC7													KANSL1				C17orf103						C9orf156		SLC12A4	SLC13A1				GPR113		FAM25C				
																PAK6													FAM171A2				LINC00670						NUTM2F		SNTB2	SMARCD3				CYS1		PTPN20A				
																CASC5													C17orf104				CDRT4						DIRAS2		TERF2	SMO				ATP6V1C2		ANXA8				
																AVEN													PTRF				CCDC144B						ASPN		TK2	SPAM1				RNASEH1		TIMM23B				
																STARD9													KLHL10				FAM27L						NMRK1		CES2	AKR1D1				FAM150B		AGAP7				
																VPS18													LINC00671				LGALS9B						NOL8		NAE1	SSBP1				C2orf70		ASAH2B				
																ZNF106													LRRC37A2				CCDC144NL						C9orf40		NOL3	TBXAS1				LINC00299		BMS1P1				
																CHAC1													MIR2117				C17orf51						RFK		SLC7A6	UBE2H				MSGN1		ANXA8L1				
																KATNBL1													ARL17B				TBC1D26						HEMGN		ATP6V0D1	VIPR2				GEN1		AGAP8				
																WDR76													PTGES3L				CDRT1						KIF27		GPR56	XRCC2				C2orf48		FAM25B				
																TMEM62																	TMEM220						BARX1		N4BP1	ZYX				FAM228B		FAM25G				
																SPG11																	SHISA6						NAA35		NUP93	ARHGEF5				MFSD2B		TIMM23				
																ELL3																	FAM211A						SLC28A3		HERPUD1	ZNF212				LINC00487		MIR4294				
																C15orf41																	PIRT						IPPK		IRX5	ZNF282				FAM228A		MTRNR2L5				
																ZFYVE19																	EVPLL						WNK2		DNAJA2	CUL1				RAD51AP2		MIR3924				
																FRMD5																	LGALS9C						SECISBP2		KATNB1	TRIM24				MIR1301		MIR5100				
																DISP2																	MTRNR2L1						ZCCHC6		ZNF267	MGAM				MIR4261		PGBD3				
																CHRFAM7A																	MIR1269B						CNTNAP3		CTCF	WASL				MIR4262						
																ARHGAP11B																							RMI1		NFAT5	DGKI				MIR3681						
																DPH6																							TRPM3		NUDT21	ATP6V1F				MIR4757						
																C15orf57																							GKAP1		WWP2	ASIC3				MIR4429						
																KNSTRN																							ISCA1		CNOT1	PDIA4										
																BMF																							ZNF484		ZNF423	UBE3C										
																SHF																							CEP78		RPGRIP1L	FAM131B										
																DUOXA1																							ANKRD20A1		CES3	FAM115A										
																CHST14																							C9orf64		ARL2BP	DNAJB6										
																CASC4																							C9orf89		ORC6	ABCF2										
																TGM7																							HIATL2		EDC4	FAM3C										
																CATSPER2																							HIATL1		PLA2G15	FASTK										
																PLA2G4E																							C9orf3		PLEKHG4	ABCB8										
																TRIM69																							FGD3		LRRC29	PAXIP1										
																C15orf43																							FAM122A		VPS4A	KLHDC10										
																TMCO5A																							TMC1		TOX3	NUP205										
																ZSCAN29																							C9orf41		NOB1	AHCYL2										
																TTBK2																							C9orf57		CCDC113	TNPO3										
																CDAN1																							C9orf85		TMEM208	HYAL4										
																STRC																							C9orf135		C16orf80	TSPAN12										
																OTUD7A																							PTPDC1		FHOD1	CLEC5A										
																SPRED1																							ANKRD19P		BRD7	MKRN1										
																PGBD4																							TRPM6		ZDHHC1	POT1										
																ADAL																							NXNL2		PARD6A	CNTNAP2										
																EXD1																							RASEF		PLLP	GIMAP2										
																FSIP1																							FAM120AOS		CKLF	OR2F1										
																RHOV																							TSTD2		NIP7	SLC13A4										
																UBR1																							ZNF782		FAM96B	TPK1										
																PATL2																							PRUNE2		TPPP3	SND1										
																LPCAT4																							TMEM252		CES1P1	DENND2A										
																PLA2G4F																							ZNF367		PRMT7	ZNF777										
																LRRC57																							SUSD3		DUS2L	TMEM176B										
																NUTM1																							CBWD5		CHTF8	HIPK2										
																PLA2G4D																							MAMDC2		LPCAT2	WDR91										
																GOLGA8G																							FRMD3		HEATR3	REPIN1										
																FMN1																							C9orf47		PDPR	HILPDA										
																C15orf52																							SPATA31E1		LRRC36	FSCN3										
																C15orf53																							FOXD4L3		FBXL8	ATP6V0A4										
																C15orf54																							FOXD4L4		SMPD3	TAS2R3										
																DUOXA2																							PTAR1		DOK4	TAS2R4										
																HERC2P9																							ERCC6L2		DDX28	TAS2R16										
																GOLGA8B																							SPATA31A6		TSNAXIP1	CPA4										
																EIF2AK4																							SPATA31D1		COQ9	WNT16										
																CKMT1A																							C9orf153		CIAPIN1	PRKAG2										
																SERINC4																							CTSL3P		THAP11	ZC3HC1										
																C15orf62																							FAM74A4		PDP2	MRPS33										
																GOLGA8N																							C9orf170		ZNF319	NUB1										
																C15orf56																							MIRLET7A1		RANBP10	TAS2R5										
																PHGR1																							MIRLET7D		NOD2	CHPF2										
																ANKRD63																							MIRLET7F1		PDF	ING3										
																JMJD7																							ANKRD20A3		DPEP2	NCAPG2										
																PLA2G4B																							ANKRD20A2		DPEP3	CHCHD3										
																MIR1282																							NUTM2G		PAPD5	WDR60										
																MIR4510																							FOXB2		AKTIP	RBM28										
																																							C9orf129		GINS3	TMEM140										
																																							FAM27A		NDRG4	GIMAP4										
																																							SPATA31A2		ACD	GIMAP5										
																																							SPATA31A4		IRX3	TMEM176A										
																																							CBWD6		FAM65A	TRPV6										
																																							SPATA31A1		TANGO6	METTL2B										
																																							FOXD4L6		USB1	TRPV5										
																																							FOXD4L5		ELMO3	ZC3HAV1										
																																							FAM27D1		SHCBP1	AKR1B10										
																																							SPATA31A3		SETD6	ACTR3B										
																																							SPATA31A5		ESRP2	KIAA1147										
																																							CBWD7		FAM192A	STRIP2										
																																							FAM74A3		CENPT	ESYT2										
																																							CNTNAP3B		CHD9	ZNF398										
																																							ANKRD20A4		C16orf70	KIAA1549										
																																							FOXD4L2		CYB5B	KMT2C										
																																							FAM27E3		GFOD2	EXOC4										
																																							FAM27C		NETO2	GALNT11										
																																							FAM27B		ENKD1	LRRC4										
																																							MIR1299		NLRC5	LMBR1										
																																							MIR3074		CCDC135	NOM1										
																																							MIR4291		CAPNS2	CCDC136										
																																							MIR4290		MT4	PARP12										
																																							MIR4289		GPT2	CREB3L2										
																																							CCDC180		B3GNT9	LRRC61										
																																							MIR4477A		CIRH1A	C7orf49										
																																							MIR4670		ABCC11	GCC1										
																																									RSPRY1	ZNF767										
																																									CCDC102A	CPED1										
																																									ABCC12	TTC26										
																																									CMTM1	JHDM1D										
																																									NRN1L	TMUB1										
																																									CMTM3	SLC37A3										
																																									C16orf78	KRBA1										
																																									SNX20	FAM71F1										
																																									ZFP90	SLC35B4										
																																									RLTPR	TMEM209										
																																									KCTD19	ADCK2										
																																									CMTM4	PLXNA4										
																																									CMTM2	ZC3HAV1L										
																																									BEAN1	CADPS2										
																																									TMED6	CPA5										
																																									CPNE2	CEP41										
																																									GPR114	ZBED6CL										
																																									PRSS54	TSGA13										
																																									CES5A	AGAP3										
																																									GPR97	C7orf13										
																																									CNEP1R1	OR9A4										
																																									CCDC79	OR9A2										
																																									CES4A	C7orf34										
																																									EXOC3L1	TMEM139										
																																									CLEC18C	NOBOX										
																																									CLEC18A	OR2A14										
																																									SLC6A10P	OR6B1										
																																									C16orf87	OR2F2										
																																									C16orf97	ZNF786										
																																									C16orf86	PRSS37										
																																									MIR328	KLF14										
																																									KIAA0895L	SSMEM1										
																																									TP53TG3C	SVOPL										
																																									TP53TG3B	MTPN										
																																									MIR1538	LRGUK										
																																										ASB10										
																																										PRSS58										
																																										RNF32										
																																										ASB15										
																																										CLEC2L										
																																										C7orf55										
																																										IQUB										
																																										TMEM213										
																																										GIMAP8										
																																										CRYGN										
																																										ZNF425										
																																										ZNF746										
																																										ATP6V0E2										
																																										RBM33										
																																										GALNTL5										
																																										RNF133										
																																										GIMAP7										
																																										ZNF467										
																																										ZNF800										
																																										GIMAP1										
																																										C7orf33										
																																										UBN2										
																																										TAS2R39										
																																										TAS2R40										
																																										TAS2R41										
																																										CNPY1										
																																										FAM115C										
																																										ZNF775										
																																										ATG9B										
																																										TAS2R60										
																																										BLACE										
																																										CTAGE6										
																																										AGBL3										
																																										OR6V1										
																																										OR2A12										
																																										OR2A1										
																																										FAM71F2										
																																										STRA8										
																																										WDR86										
																																										GSTK1										
																																										RNF148										
																																										FEZF1										
																																										FAM180A										
																																										OR2A25										
																																										OR2A5										
																																										PRRT4										
																																										RAB19										
																																										OR2A7										
																																										OR2A42										
																																										MIR182										
																																										MIR183										
																																										MIR96										
																																										AKR1B15										
																																										CTAGE15										
																																										OR2A2										
																																										LMOD2										
																																										ARHGEF35										
																																										GIMAP6										
																																										WEE2										
																																										MIR490										
																																										ZNF862										
																																										ACTR3C										
																																										TMEM229A										
																																										CTAGE4										
																																										CTAGE8										
																																										SMKR1										
																																										ZNF783										
																																										MIR548F4										
																																										MTRNR2L6										
																																										TMEM178B										
																																										MIR4468										
																																										MIR5707										
