cytoband	9p21.3	11q23.3	10q23.31	4q34.3	2q37.3	6q26	15q21.1	5q31.3	1p36.31	3q13.31	1p22.1	10p15.3	16p13.3	10q26.3	12q23.3	5q12.1	19p13.3	15q13.3	5p15.31	8p23.3	Xp21.1	9p23	14q23.3	4p16.3	13q34	16q24.3	6q21	10q21.1	3p25.1	14q32.31	16q23.1	17p13.3	11p15.5	16q12.1	
								PFDN1	MIR429		EXTL2				RN7SL630P										ANKRD10	C16orf74	snoU13|ENSG00000238974.1		RNA5SP126	SNORA32|ENSG00000201384.1	PKD1L2			CNOT1	
								POU4F3	TMEM88B		F3				RN7SL737P										RAB20	MIR1910	SNORA73|ENSG00000253090.1		RNA5SP125	RN7SL356P	RNF166			ZNF423	
								PPP2R2B	C1orf233		GBP1				UBE2N										CARKD	C16orf95	SCML4		RN7SL216P	RN7SKP17	C16orf46			RPGRIP1L	
								RPS14	CDK11A		GBP2				snoU13|ENSG00000239073.1										UGGT2	MIR5093	RTN4IP1		LINC00691	RN7SL747P	DNAAF1			ARL2BP	
								SGCD	SLC35E2B		GBP3				SNORD74|ENSG00000201502.1										PCID2		RNA5SP211		UBE2E2	TGFB3	SPATA2L			ORC6	
								SLC6A7	OR4F29		GFI1				snoU13|ENSG00000238361.1										UPF3A		RN7SL47P		HMGB1P5	C14orf1	SPATA33			TOX3	
								SPARC	MIR4252		GNAT2				snoU13|ENSG00000238865.1										KDELC1		RN7SKP211		RNY4P22	RNA5SP387	ZC3H18			CCDC113	
								SPINK1	MIR4689		GNG5				BTG1										CARS2		POPDC3		MIR3135A	RNU4ATAC14P	CDYL2			C16orf80	
								SPOCK1	MIR4417		GSTM1				LUM										GRTP1		LINC00577		U7|ENSG00000271841.1	SNORA7|ENSG00000222604.1	SLC38A8			BRD7	
								TAF7			GSTM2				LINC00615										TMTC4		SNORA33|ENSG00000202283.1		LINC00690	ISCA2	ADAD2			PLLP	
								TCOF1			GSTM3				RNA5SP365										ABHD13		snoU13|ENSG00000238999.1		DPH3	MIR4709	ZNF778			CES1P1	
								TTC1			GSTM4				LINC00936										ZIC5		PRDM13		RN7SL4P	RN7SL530P	ACSF3			LPCAT2	
								UBE2D2			GSTM5				KITLG										TEX30		TSTD3		MIR3134	LIN52	LINC00304			HEATR3	
								WNT8A			GTF2B				RNA5SP364										ADPRHL1		RN7SL509P		RN7SL110P	ENTPD5	SNAI3			DOK4	
								NME5			IGSF3				MKRN9P										TEX29		RN7SL797P		MIR4270	snoU13|ENSG00000238330.1	FAM92B			COQ9	
								EIF4EBP3			CYR61				SNORA3|ENSG00000221148.1										SPACA7		SNORA18|ENSG00000252249.1		snoU13|ENSG00000238891.1	ACOT4	CTU2			CIAPIN1	
								PCDHGB4			KCNA2				MIR4699										RNF113B		U3|ENSG00000221455.1		COL6A4P1	C14orf169	PABPN1L			ZNF319	
								CDC23			KCNA3				MIR618										CLYBL		U3|ENSG00000200492.1		NR2C2	RN7SL586P	C16orf74			NOD2	
								ADAM19			KCNA10				MIR617										METTL21C		RN7SL415P		GRIP2	snoU13|ENSG00000238972.1	MIR1910			PAPD5	
								HDAC3			KCNC4				PTPRQ										NALCN		RN7SKP110		RNA5SP124	RN7SL683P	C16orf95			AKTIP	
								PTTG1			KCND3				RN7SKP261										DAOA		CASP8AP2		LSM3	SNORD56B	MIR5093			GINS3	
								CNOT8			MOV10				RNA5SP363										CHAMP1		snoU13|ENSG00000238747.1		FGD5P1	SERPINA3				NDRG4	
								HAND1			NGF				PAWR										UBAC2		RN7SL11P		WNT7A	ACYP1				IRX3	
								MED7			NHLH2				RN7SL696P										TMEM255B		RN7SL336P		LINC00620	AKT1				USB1	
								MYOT			NRAS				MIR1252										C13orf35		SNORA73|ENSG00000222145.1		SNORA7A	BDKRB1				SHCBP1	
								NRG2			OVGP1				snoU13|ENSG00000238769.1										FAM155A		RN7SL183P		snoU13|ENSG00000239140.1	BDKRB2				SETD6	
								RNF14			PRKACB				RN7SKP172										MIR3170		snoU13|ENSG00000238628.1		C3orf83	CALM1				FAM192A	
								CLINT1			PKN2				ACACB										MIR4502		C6ORF165		RNA5SP123	SERPINA6				CHD9	
								PCDHGA8			PSMA5				ACADS												RN7SKP209		SYN2	FOXN3				NETO2	
								PCDHA9			PTGFRN				ALDH2												RN7SL643P		RN7SL147P	CHGA				NLRC5	
								MATR3			ABCD3				APAF1												SNHG5		SLC6A11	CKB				CCDC135	
								KIAA0141			RAP1A				ARL1												CYB5R4		LINC00606	CRIP1				CAPNS2	
								JAKMIP2			RPL5				ASCL1												RWDD2A		MIR885	CRIP2				MT4	
								SLC23A1			SORT1				ATP2A2												SNORA70|ENSG00000206886.1		GHRLOS	DIO2				GPT2	
								GNPDA1			SARS				ATP2B1												RNA5SP210		LINC00852	DIO3				ABCC11	
								SRA1			SLC16A1				SCARB1												SNORD112|ENSG00000252932.1		snoU13|ENSG00000238345.1	DLST				RSPRY1	
								KIF20A			STXBP3				CMKLR1												HTR1B		VHL	DYNC1H1				CCDC102A	
								G3BP1			SYCP1				COX6A1												U6|ENSG00000272445.1		snoU13|ENSG00000238642.1	EIF5				ABCC12	
								APBB3			TGFBR3				CRY1												snoU13|ENSG00000239132.1		CIDECP	EML1				C16orf78	
								TNIP1			TSHB				CSRP2												RNA5SP209		EMC3	ESRRB				SNX20	
								SLU7			VCAM1				DAO												RN7SKP163		LHFPL4	FOS				CPNE2	
								FAXDC2			CSDE1				DCN												U3|ENSG00000221332.1		SNORA43|ENSG00000199815.1	GALC				GPR114	
								FAM114A2			EVI5				EPYC												MB21D1		LINC00312	GSTZ1				PRSS54	
								BRD8			CDC7				DTX1												snoU13|ENSG00000238464.1		RNU4ATAC17P	GTF2A1				CES5A	
								TCERG1			BCAR3				DUSP6												OOEP		RN7SL553P	BRF1				GPR97	
								HNRNPA0			LMO4				STX2												OGFRL1		snoU13|ENSG00000239126.1	HSP90AA1				CNEP1R1	
								SPINK5			CDC14A				GOLGA3												U3|ENSG00000221345.1		EGOT	IFI27				SLC6A10P	
								SOX30			RTCA				GTF2H3												B3GAT2		SNORA43|ENSG00000253049.1	ITPK1				C16orf87	
								SYNPO			BCL10				HAL												C6orf57		RN7SKP144	JAG2				C16orf97	
								ABLIM3			SLC16A4				HPD												COL19A1		RN7SL120P	KLC1				TP53TG3C	
								HMGXB3			CD101				IGF1												RNA5SP208		ACAA1	LTBP2				TP53TG3B	
								ARHGAP26			CLCA3P				LTA4H												SNORD65|ENSG00000212229.1		ACVR2B	MARK3					
								ATP10B			CLCA2				MMP17												ACAT2		ALAS1	ATXN3					
								LARP1			HS2ST1				MSI1												AIM1		AMT	ALDH6A1					
								HARS2			LPPR4				MVK												AMD1		APEH	SERPINA5					
								GEMIN5			TSPAN2				MYBPC1												ARG1		ARF4	PGF					
								PCDHGA12			BCAS2				MYF5												BAI3		RHOA	SERPINA1					
								LRRTM2			CEPT1				MYF6												BCKDHB		ATP2B2	SERPINA4					
								CCDC69			VAV3				MYL2												PRDM1		BTD	PPP2R5C					
								PCDHB5			LAMTOR5				PPP1R12A												CCNC		CACNA1D	LGMN					
								KLHL3			AP4B1				NAP1L1												CGA		SLC25A20	PSEN1					
								HAVCR1			PHTF1				NFYB												CCR6		CAMP	PSMC1					
								CYFIP2			AHCYL1				NOS1												CNR1		CAV3	ABCD4					
								PKD2L2			GLMN				NTS												COL9A1		CCK	MOK					
								IL17B			DDX20				OAS1												COL10A1		ENTPD3	SEL1L					
								MAT2B			CLCA4				OAS2												COL12A1		CDC25A	TNFAIP2					
								MRPL22			MTF2				OAS3												COX7A2		CISH	TRAF3					
								PCDHB1			NTNG1				P2RX4												CTGF		CCR1	TSHR					
								DCTN4			WDR47				P2RX7												EEF1A1		CCR3	VRK1					
								MZB1			CLCC1				PEBP1												EPB41L2		CCR5	WARS					
								PAIP2			KIAA1107				PAH												EPHA7		CCR8	XRCC3					
								PCDH12			SLC35A3				CDK17												EYA4		ACKR2	DPF3					
								FAM13B			LRRC8B				SLC25A3												ESR1		COL7A1	GPR68					
								FAM53C			LPAR3				PLA2G1B												FABP7		CTNNB1	TCL1A					
								REEP2			DDAH1				PMCH												FOXO3		CX3CR1	NUMB					
								LARS			RWDD3				POLE												FUCA2		CYP8B1	DLK1					
								CXXC5			PTPN22				PPP1CC												FYN		DAG1	ALKBH1					
								KDM3B			CHIA				PRKAB1												GABRR1		DAZL	EIF2B2					
								RBM27			GPSM2				PSMD9												GABRR2		DNASE1L3	MTA1					
								TMCO6			SLC25A24				PTPN11												GJA1		DOCK3	PNMA1					
								GALNT10			TMED5				PXMP2												GPR6		DUSP7	RPS6KA5					
								RBM22			SH3GLB1				PXN												GRIK2		CELSR3	TRIP11					
								PCDHGC5			SNX7				RFC5												GRM1		FANCD2	SPTLC2					
								PCDHGC4			TRIM33				RFX4												HDAC2		FBLN2	BAG5					
								PCDHGB7			GPR88				RPL6												HIVEP2		FHIT	C14orf2					
								PCDHGB6			TRMT13				RPLP0												HSF2		FLNB	CDC42BPB					
								PCDHGB3			RSBN1				CLIP1												HTR1E		GNAI2	TCL1B					
								PCDHGB2			ZNHIT6				ATXN2												IFNGR1		GOLGA4	RGS6					
								PCDHGB1			GDAP2				SELPLG												IGF2R		XCR1	AREL1					
								PCDHGA11			FAM46C				SFSWAP												IMPG1		GPX1	TECPR2					
								PCDHGA10			PALMD				SYT1												KIF25		GRM2	GOLGA5					
								PCDHGA9			FNBP1L				TBX5												KPNA5		GRM7	FBLN5					
								PCDHGA7			ST7L				TBX3												LAMA2		HRH1	BATF					
								PCDHGA6			PRPF38B				HNF1A												LAMA4		HYAL1	SIVA1					
								PCDHGA5			LRRC8D				TDG												LPA		IL5RA	NPC2					
								PCDHGA4			PRMT6				TMPO												MARCKS		IMPDH2	AHSA1					
								PCDHGA3			MCOLN3				NR2C1												MAN1A1		IRAK2	CYP46A1					
								PCDHGA2			SLC22A15				HSP90B1												MAS1		ITIH1	PAPOLA					
								PCDHGA1			RNPC3				TXNRD1												ME1		ITIH3	ACOT2					
								PCDHB15			LRIF1				UBC												MAP3K4		ITIH4	TMED10					
								PCDHB14			CTTNBP2NL				UNG												MAP3K5		ITPR1	PTPN21					
								PCDHB13			FAM212B				ZNF10												MLLT4		LAMB2	VASH1					
								PCDHB12			CCBL2				ZNF26												MYB		RPSA	SNW1					
								PCDHB11			OLFML3				ZNF84												MYO6		LTF	TTLL5					
								PCDHB10			AMIGO1				ALX1												NMBR		MAP4	RCOR1					
								PCDHB8			ODF2L				CDK2AP1												NT5E		MLH1	PACS2					
								PCDHB7			PTBP2				BRAP												OPRM1		MOBP	ANGEL1					
								PCDHB6			DNASE2B				ULK1												PARK2		MST1	PPP1R13B					
								PCDHB4			HIAT1				EEA1												PCMT1		MST1R	DICER1					
								PCDHB3			RBM15				RASAL1												PDCD2		MYD88	FLRT2					
								PCDHB2			DCLRE1B				PPFIA2												ENPP1		MYL3	SIPA1L1					
								PCDHAC2			WDR77				MAPKAPK5												ENPP3		NKTR	DCAF4					
								PCDHAC1			EPS8L3				DENR												PEX7		OGG1	KIF26A					
								PCDHA13			VTCN1				OASL												PGM3		OXTR	TMEM251					
								PCDHA12			SIKE1				DYNLL1												PLAGL1		PDHB	TCL6					
								PCDHA11			TRIM45				SRSF9												PLG		PFKFB4	MLH3					
								PCDHA10			VANGL1				GALNT4												PLN		PLCD1	GPR132					
								PCDHA8			GPR61				CRADD												POU3F2		PLXNB1	POMT2					
								PCDHA7			SYDE2				LIN7A												PREP		PPARG	COQ6					
								PCDHA6			ZNF644				SOCS2												PKIB		PRKAR2A	FCF1					
								PCDHA5			LRRC8C				HCAR3												PSMB1		PRKCD	SERPINA10					
								PCDHA4			PROK1				HIP1R												PTPRK		PTH1R	EVL					
								PCDHA3			PSRC1				RASSF9												REV3L		QARS	GSKIP					
								PCDHA2			STRIP1				PIWIL1												ROS1		RAB5A	CINP					
								PCDHA1			HENMT1				CABP1												RPS6KA2		RAF1	ASB2					
								NMUR2			GBP4				NCOR2												SGK1		RARB	ZFYVE1					
								PCDHB16			GBP5				WSCD2												SIM1		RPL15	CPSF2					
								HMHB1			SSX2IP				SART3												SLC22A1		RPL29	CDCA4					
								C5orf54			OLFM3				KNTC1												SLC22A3		RPL32	NRDE2					
								SIL1			WDR63				MLEC												SLC22A2		SATB1	ATG2B					
								ARAP3			MAB21L3				GIT2												SMPD2		SCN5A	UBR7					
								PCYOX1L			SLC44A3				NUAK1												SOD2		SCN10A	VRTN					
								CCNJL			ATXN7L2				RBM19												ELOVL4		SEC13	FLVCR2					
								SAP30L			C1orf194				RNF10												T		SEMA3F	GPATCH2L					
								NDFIP1			LRRC39				NR1H4												MAP3K7		SETMAR	SMEK1					
								FBXO38			DRAM2				SH2B3												TBP		SLC6A1	BTBD7					
								YIPF5			PIFO				ARPC3												TCF21		SLC6A6	TDP1					
								TIGD6			C1orf162				PLXNC1												TCP1		SMARCC1	ZNF839					
								SPRY4			SYT6				MPHOSPH9												TCTE3		STAC	SPATA7					
								SLC4A9			SAMD13				CAMKK2												DYNLT1		NEK4	YLPM1					
								SLC25A2			TMEM56				ZNF268												THBS2		TCTA	KCNK13					
								PSD2			NBPF4				TRAFD1												NR2E1		TDGF1	DDX24					
								SPINK7			SLC30A7				TMED2												TNFAIP3		TGM4	ADCK1					
								HAVCR2			CHIAP2				ERP29												TPBG		TGFBR2	TMEM63C					
								SMIM3			FNDC7				CKAP4												TPD52L1		THRB	UNC79					
								FCHSD1			SASS6				GCN1L1												TTK		TIMP4	BEGAIN					
								TIMD4			HFM1				METAP2												UTRN		TKT	PPP4R4					
								ZNF300			UBL4B				SDS												EZR		CLEC3B	ZNF410					
								MYOZ3			SPAG17				RAB35												VIP		TNNC1	NGB					
								SLC35A4			HIPK1				KERA												EPM2A		TOP2B	RBM25					
								PWWP2A			EPHX4				PRDM4												DDO		UBA7	VIPAS39					
								C1QTNF2			AKNAD1				CIT												RNASET2		UBE2E1	MOAP1					
								SCGB3A2			MCOLN2				PWP1												SNX3		UBP1	IRF2BPL					
								PPARGC1B			COL24A1				NUDT4												RNGTT		USP4	INF2					
								AFAP1L1			MAGI3				FZD10												CD164		UQCRC1	BCL11B					
								GRPEL2			FAM19A3				RPH3A												WISP3		VIPR1	OTUB2					
								UBLCP1			FAM102B				P2RX2												SYNJ2		WNT5A	ZFYVE21					
								SLC36A2			SYPL2				FBXO21												VNN2		XPC	WDR25					
								ZMAT2			CYB561D1				SETD1B												VNN1		ZNF35	LINC00341					
								FAM71B			ZNF326				UHRF1BP1L												WASF1		BRPF1	ZC2HC1C					
								PRELID2			BTBD8				ANKLE2												TAAR5		IFRD2	CLMN					
								SH3RF2			PPM1J				CUX2												MAP7		MAPKAPK3	CATSPERB					
								PLAC8L1			CCDC18				KIAA1033												TBX18		SLMAP	ZC3H14					
								RNF145			MYBPHL				MED13L												LATS1		MANF	RIN3					
								SPATA24			GBP7				ZDHHC17												TAAR2		COLQ	C14orf159					
								DNAJC18			C1orf146				SIRT4												HMGN3		ACOX2	CCDC176					
								STK32A			FAM69A				ABCB9												MED23		BAP1	TMEM121					
								SLC36A1			SLC6A17				ISCU												QKI		EOMES	AMN					
								RELL2			C1orf137				RIMBP2												FHL5		HYAL3	SLIRP					
								SLC36A3			FRRS1				ATP6V0A2												AKAP7		CAMK1	DNAL1					
								KIF4B			MIR197				CORO1C												ATG5		BHLHE40	RPS6KL1					
								ARSI			C1orf180				MGAT4C												WTAP		HYAL2	IFI27L2					
								IRGM			RBMXL1				FBXW8												AKAP12		KAT2B	SETD3					
								NIPAL4			NBPF6				HSPB8												PHACTR2		BSN	HHIPL1					
								DND1			MIR760				UTP20												BCLAF1		ACKR5	C14orf142					
								PROB1			MIR320B1				MRPL42												ZBTB24		RPL14	STON2					
								C5orf46			MIR378G				IFT81												SNAP91		SEC22C	KIAA1737					
								ARHGEF37			MIR137HG				CCDC59												FIG4		RRP9	PAPLN					
								SPINK6			MIR4423				FAM216A												UST		LRRFIP2	FAM181A					
								ANKHD1							SYCP3												TRDN		CACNA2D2	BTBD6					
								MIR143							CHST11												CITED2		SLC22A14	EFCAB11					
								MIR145							GALNT9												SYNCRIP		SLC22A13	ELMSAN1					
								MIR146A							CCDC53												SLC35A1		SH3BP5	NEK9					
								SPINK14							CCDC41												FUT9		SLC4A7	EXOC3L4					
								FNDC9							GPN3												TRAF3IP2		VGLL4	WDR20					
								IGIP							GLTP												HBS1L		EDEM1	IFT43					
								GRXCR2							ARL6IP4												PDE10A		TBC1D5	AHNAK2					
								SPINK9							TAOK3												SMPDL3A		TATDN2	TRMT61A					
								C5orf52							POP5												PNRC1		IP6K1	TDRD9					
								MIR1303							ANAPC5												ASCC3		EPM2AIP1	ANKRD9					
								MIR3141							ANAPC7												RAB32		SRGAP3	AK7					
								MIR378H							TRIAP1												KATNA1		IQSEC1	IFI27L1					
								MIR5197							NT5DC3												BVES		DLEC1	PLD4					
															VPS29												SEC63		EXOG	ADSSL1					
															TPCN1												SCAF8		XYLB	NOXRED1					
															SSH1												KIAA1009		OXSR1	JDP2					
															RHOF												ANKRD6		NR1D2	TTC8					
															VSIG10												RIMS1		PDCD6IP	TC2N					
															TESC												DOPEY1		PARP3	SLC25A29					
															PARPBP												ZNF292		ARPC4	GSC					
															SLC6A15												CDK19		ZNF197	SERPINA12					
															RIC8B												TAB2		RBM6	PRIMA1					
															APPL2												MDN1		RBM5	PTGR2					
															SBNO1												TSPYL4		NME6	FAM161B					
															DRAM1												SASH1		CTDSPL	C14orf166B					
															SVOP												SYNE1		EIF1B	ISM2					
															STAB2												UFL1		TRAIP	CEP128					
															VEZT												HEY2		ARIH2	TTC7B					
															GOLGA2B												ORC3		TADA3	SYNE3					
															SCYL2												MTO1		CRTAP	EML5					
															POLR3B												ASF1A		ATG7	NUDT14					
															CHFR												CCDC28A		NPRL2	LINC00521					
															FGD6												MTHFD1L		CXCR6	SERPINA11					
															WSB2												PNISR		CHL1	PROX2					
															NDUFA12												IBTK		ARPP21	ZDHHC22					
															DIABLO												MOXD1		CCR9	C14orf178					
															ANKS1B												IPCEF1		USP19	C14orf177					
															CHPT1												SENP6		CYB561D2	SLC25A47					
															TMCC3												TIAM2		TMEM115	LINC00523					
															PITPNM2												FBXL4		RPP14	CEP170B					
															EP400												C6orf123		FAM107A	C14orf80					
															DHX37												FBXO5		WDR6	CCDC85C					
															FBRSL1												SLC17A5		RASSF1	SERPINA9					
															DDX55												RGS17		NISCH	VSX2					
															NTN4												PDE7B		TREX1	COX8C					
															TRPV4												FILIP1		SCN11A	ASPG					
															SUDS3												SESN1		TUSC2	SERPINA13P					
															ACTR6												DLL1		TWF2	C14orf64					
															C12orf43												OSTM1		TRAK1	RTL1					
															VPS33A												MRPL18		DHX30	TMEM179					
															RSRC2												NDUFAF4		SACM1L	HEATR4					
															AACS												DSE		SCAP	C14orf180					
															NUP37												CLDN20		EXOSC7	MIR127					
															DDX54												NOX3		CAND2	MIR136					
															NOC4L												HDDC2		CLASP2	MIR154					
															GNPTAB												TUBE1		RAD54L2	MIR203					
															B3GNT4												C6orf203		STAB1	CCDC88C					
															TCTN1												CDC40		GPD1L	MIR323A					
															ACSS3												RWDD1		RFTN1	MIR337					
															OGFOD2												AIG1		NBEAL2	MIR345					
															VPS37B												SNX9		NUP210	MIR370					
															BBS10												UBE2J1		PLCL2	MIR381					
															C12orf49												MPC1		ANKRD28	MIR431					
															TCTN2												HECA		FAM208A	MIR323B					
															NAA25												COQ3		KLHL18	MIR409					
															SLC24A6												IL20RA		LARS2	MIR412					
															CEP290												UNC93A		CAPN7	MIR410					
															RNF34												MTRF1L		MKRN2	MIR493					
															CCDC92												AHI1		NAT6	MIR432					
															MTERFD3												RMND1		FBXL2	MIR494					
															PUS1												PHIP		ABHD14A	MIR495					
															ACAD10												SOBP		POC1A	MIR496					
															GLT8D2												AKIRIN2		CNOT10	MIR487A					
															KCTD10												PHF10		TMEM158	ACOT1					
															USP44												QRSL1		THUMPD3	ACOT6					
															SLC41A2												VNN3		MYRIP	SYNDIG1L					
															LRRIQ1												DDX43		PTPN23	RD3L					
															METTL25												FAM46A		DNAH1	TEX22					
															TCHP												TMEM30A		SUSD5	MIR539					
															COQ5												C6orf70		ERC2	MIR544A					
															HVCN1												LMBRD1		APPL1	MIR487B					
															SRRM4												ECHDC1		HACL1	MIR411					
															CCDC62												KCNQ5		TTLL3	MIR654					
															KDM2B												AGPAT4		GNL3	MIR655					
															UNC119B												TULP4		CNTN6	MIR656					
															USP30												RARS2		RBMS3	MIR758					
															RNFT2												PDSS2		NKIRAS1	MIR770					
															FAM222A												GOPC		SPCS1	MIR300					
															C12orf52												SMIM8		SETD2	MIR541					
															ANKRD13A												GPR126		PRSS50	MIR665					
															NAV3												KIAA1244		RBM15B	MIR543					
															TMEM116												NHSL1		GMPPB	MIR889					
															UBE3B												LYRM2		LMCD1	DIO3OS					
															C12orf23												SNX14		ARHGEF3	MIR1260A					
															C12orf29												PLEKHG1		VILL	MIR1197					
															C12orf65												ARID1B		SSUH2	MIR1193					
															CCDC64												SERINC1		TRNT1	MIR4309					
															SDSL												HACE1		DYNC1LI1	MIR3173					
															OSBPL8												FAM135A		C3orf18	MIR4505					
															IQCD												TMEM181		CRBN	MIR151B					
															DEPDC4												ZBTB2		SS18L2	MIR4710					
															CCDC38												BEND3		CCDC174	MIR2392					
															TMEM132D												ABRACL		SHISA5						
															SLC15A4												RRAGD		ZMYND10						
															NEDD1												PBOV1		TEX264						
															IKBIP												BACH2		TMA7						
															ASCL4												TRMT11		ZNF589						
															BTBD11												SMAP1		HEMK1						
															SPIC												C6orf164		IP6K2						
															ANO4												PERP		SFMBT1						
															ALKBH2												SMOC2		NCKIPSD						
															FOXN4												ALDH8A1		PHF7						
															SPPL3												MICAL1		GHRL						
															AMDHD1												ULBP3		TLR9						
															FAM101A												OR2A4		LZTFL1						
															ZNF664												C6orf211		P4HTM						
															TMEM120B												FAM184A		SLC6A20						
															WDR66												ZDHHC14		IL17RD						
															GLT1D1												MANEA		ELP6						
															TSPAN19												ADGB		SNRK						
															E2F7												LINC00472		QRICH1						
															RAD9B												FRMD1		PXK						
															FAM109A												LINC00574		CMTM6						
															TMTC2												CCDC170		SLC25A38						
															TMTC3												MYCT1		ULK4						
															C12orf50												ULBP2		OXSM						
															ALDH1L2												ULBP1		FEZF2						
															CCDC63												LPAL2		ANO10						
															CCDC60												KHDC1		DALRD3						
															PGAM5												GPR63		PBRM1						
															RILPL2												PPP1R14C		ARL8B						
															DNAH10												SPACA1		SETD5						
															PLBD2												RNF146		TMEM40						
															FAM71C												SF3B5		IL17RB						
															CCER1												TAAR8		NGLY1						
															SLC17A8												SH3BGRL2		CACNA2D3						
															LRRC43												RSPH3		DCP1A						
															TCP11L2												ARMC2		GLT8D1						
															C12orf79												L3MBTL3		BRK1						
															POC1B												FAM120B		ZKSCAN7						
															OTOGL												MCHR2		RAD18						
															GPR133												FAXC		SEMA3G						
															MORN3												FNDC1		KIF15						
															GAS2L3												GJA10		PCBP4						
															MYO1H												LRP11		ABHD6						
															HECTD4												LTV1		LRTM1						
															KSR2												SERAC1		C3orf14						
															DDX51												USP45		KIAA1143						
															MMAB												REPS1		HHATL						
															HCAR2												PPIL4		WDR48						
															TMEM119												SLC22A16		LRRN1						
															C12orf74												UBE3D		SELK						
															EP400NL												ARHGAP18		RNF123						
															RILPL1												SYTL3		CIDEC						
															C12orf42												GTF3C6		ZFYVE20						
															IL31												MRAP2		KIF9						
															C12orf75												MTFR2		AZI2						
															CCDC42B												KLHL32		MTMR14						
															TMEM233												TMEM200A		MRPS25						
															SETD8												NUS1		CSRNP1						
															C12orf76												IL22RA2		GORASP1						
															MIR135A2												SLC18B1		CDCP1						
															PLEKHG7												SLC16A10		CCDC71						
															MIR331												TAGAP		NT5DC2						
															EID3												RIPPLY2		SLC26A6						
															CLLU1OS												IRAK1BP1		CRELD1						
															CLLU1												TAAR9		CAMKV						
															MIR492												TAAR1		TMEM43						
															C12orf73												NCOA7		LRRC2						
															ZNF605												HINT3		FYCO1						
															MIR1251												PACRG		CCDC51						
															MIR4303												CD109		ZNF385D						
															MIR3685												RAET1E		HDAC11						
															MIR3908												PM20D2		WDR82						
															MIR4495												SRSF12		TSEN2						
															MIR4419B												ZC2HC1B		C3orf20						
															MIR4700												RAET1L		ATRIP						
															MIR4497												SAMD3		NICN1						
															MIR5188												PNLDC1		MON1A						
															MIR5700												RNF217		JAGN1						
																											NKAIN2		IL17RC						
																											KHDC3L		ABHD14B						
																											C6orf165		GTDC2						
																											PRSS35		EAF1						
																											LCA5		DCLK3						
																											OLIG3		UCN2						
																											TXLNB		ZNF502						
																											DACT2		RFT1						
																											C6orf118		OXNAD1						
																											OSTCP1		ACTR8						
																											C6orf163		CMTM7						
																											AK9		ZNF501						
																											FAM26D		FANCD2OS						
																											ZUFSP		LRRC3B						
																											FAM162B		GALNT15						
																											TBC1D32		GPR62						
																											HS3ST5		KCNH8						
																											GPRC6A		FAM3D						
																											RFX6		LYZL4						
																											SLC35F1		KLHL40						
																											VGLL2		CHCHD4						
																											LACE1		TMEM42						
																											TMEM244		METTL6						
																											MMS22L		TAMM41						
																											WDR27		IL17RE						
																											MCM9		IQCF1						
																											SHPRH		GLYCTK						
																											CEP57L1		PPM1M						
																											PPIL6		LSMEM2						
																											DCBLD1		ASB14						
																											PRR18		SGOL1						
																											TAAR6		PP2D1						
																											SLC35D3		EFHB						
																											DPPA5		CPNE9						
																											RSPH4A		CCDC12						
																											ECT2L		ZCWPW2						
																											NUP43		NEK10						
																											C6orf58		CMTM8						
																											RAET1G		CCDC13						
																											GJB7		FGD5						
																											SUMO4		CNTN4						
																											CENPW		XIRP1						
																											SOGA3		TTC21A						
																											CEP85L		C3orf67						
																											C6orf120		KCTD6						
																											THEMIS		KLHDC8B						
																											LIN28B		DNAH12						
																											SAMD5		DENND6A						
																											IYD		ZNF620						
																											TCP10L2		ALS2CL						
																											LINC00242		TMIE						
																											GTF2H5		FBXW12						
																											MIR30A		ZNF619						
																											MIR30C2		LINC00692						
																											FAM26F		CCDC66						
																											RFPL4B		TCAIM						
																											FAM229B		SUMF1						
																											CTAGE9		RPUSD3						
																											MIR548A2		PRRT3						
																											MIR587		CCDC36						
																											MIR588		C3orf35						
																											METTL24		GADL1						
																											TMEM242		PRSS42						
																											TRAPPC3L		ZNF860						
																											KHDC1L		TPRXL						
																											MIR2113		ZNF445						
																											MIR1202		SPATA12						
																											MIR1273C		TOPAZ1						
																											MIR3144		TMEM110						
																											MIR4282		AMIGO3						
																											MIR3918		ZNF662						
																											MIR3939		CDHR4						
																											MIR3668		FAM212A						
																											SMLR1		IQCF2						
																											MIR4464		IQCF5						
																											MIR4466		IQCF3						
																											MIR4643		MIR135A1						
																											MIR4465		MIR191						
																											MIR548AJ1		MIR425						
																											MIR548AI		GLB1						
																											MIR4463		SPINK8						
																											MIR548H5		ARIH2OS						
																													C3orf84						
																													MIR563						
																													FAM198A						
																													CCR2						
																													PRSS46						
																													MIR378B						
																													MIR4271						
																													MIR3714						
																													KRBOX1						
																													MIR4787						
																													MIR4791						
																													MIR4790						
																													MIR4443						
																													MIR4792						
																													MIR4442						
